Date,SPY
2015-01-02,169.6878662109375
2015-01-05,166.6233367919922
2015-01-06,165.05392456054688
2015-01-07,167.11068725585938
2015-01-08,170.0760040283203
2015-01-09,168.7130889892578
2015-01-12,167.39154052734375
2015-01-13,166.92071533203125
2015-01-14,165.91299438476562
2015-01-15,164.3931427001953
2015-01-16,166.54898071289062
2015-01-20,166.9041748046875
2015-01-21,167.74668884277344
2015-01-22,170.24127197265625
2015-01-23,169.30787658691406
2015-01-26,169.7043914794922
2015-01-27,167.4658660888672
2015-01-28,165.31825256347656
2015-01-29,166.8463897705078
2015-01-30,164.74827575683594
2015-02-02,166.7884979248047
2015-02-03,169.2004852294922
2015-02-04,168.5561981201172
2015-02-05,170.25778198242188
2015-02-06,169.7869873046875
2015-02-09,169.0270538330078
2015-02-10,170.82781982421875
2015-02-11,170.92681884765625
2015-02-12,172.5706329345703
2015-02-13,173.28099060058594
2015-02-17,173.5535888671875
2015-02-18,173.57005310058594
2015-02-19,173.44615173339844
2015-02-20,174.48690795898438
2015-02-23,174.46224975585938
2015-02-24,174.957763671875
2015-02-25,174.80914306640625
2015-02-26,174.6025848388672
2015-02-27,174.0078582763672
2015-03-02,175.1065216064453
2015-03-03,174.3878631591797
2015-03-04,173.65269470214844
2015-03-05,173.84271240234375
2015-03-06,171.39764404296875
2015-03-09,172.10800170898438
2015-03-10,169.31614685058594
2015-03-11,168.91966247558594
2015-03-12,171.06729125976562
2015-03-13,170.018310546875
2015-03-16,172.28982543945312
2015-03-17,171.77761840820312
2015-03-18,173.84271240234375
2015-03-19,173.04966735839844
2015-03-20,174.5771484375
2015-03-23,174.23704528808594
2015-03-24,173.25804138183594
2015-03-25,170.71910095214844
2015-03-26,170.31253051757812
2015-03-27,170.7025146484375
2015-03-30,172.78506469726562
2015-03-31,171.2749786376953
2015-04-01,170.6693115234375
2015-04-02,171.28330993652344
2015-04-06,172.43661499023438
2015-04-07,171.98019409179688
2015-04-08,172.5609893798828
2015-04-09,173.32432556152344
2015-04-10,174.27023315429688
2015-04-13,173.48202514648438
2015-04-14,173.81387329101562
2015-04-15,174.5937957763672
2015-04-16,174.54396057128906
2015-04-17,172.53614807128906
2015-04-20,174.11260986328125
2015-04-21,173.90518188476562
2015-04-22,174.759765625
2015-04-23,175.1995086669922
2015-04-24,175.60601806640625
2015-04-27,174.8759307861328
2015-04-28,175.43182373046875
2015-04-29,174.7099609375
2015-04-30,172.95924377441406
2015-05-01,174.8344268798828
2015-05-04,175.3322296142578
2015-05-05,173.32432556152344
2015-05-06,172.6107940673828
2015-05-07,173.29946899414062
2015-05-08,175.58114624023438
2015-05-11,174.74314880371094
2015-05-12,174.2204132080078
2015-05-13,174.25363159179688
2015-05-14,176.07066345214844
2015-05-15,176.2615203857422
2015-05-18,176.80911254882812
2015-05-19,176.75103759765625
2015-05-20,176.6265869140625
2015-05-21,177.1409454345703
2015-05-22,176.71780395507812
2015-05-26,174.81784057617188
2015-05-27,176.47720336914062
2015-05-28,176.278076171875
2015-05-29,175.1829376220703
2015-06-01,175.5396728515625
2015-06-02,175.36544799804688
2015-06-03,175.8300323486328
2015-06-04,174.3448944091797
2015-06-05,174.0461883544922
2015-06-08,172.97592163085938
2015-06-09,172.95103454589844
2015-06-10,175.0251922607422
2015-06-11,175.58944702148438
2015-06-12,174.2453155517578
2015-06-15,173.4985809326172
2015-06-16,174.4444122314453
2015-06-17,174.72653198242188
2015-06-18,176.5435791015625
2015-06-19,175.75985717773438
2015-06-22,176.66030883789062
2015-06-23,176.785400390625
2015-06-24,175.50144958496094
2015-06-25,174.96778869628906
2015-06-26,174.9344940185547
2015-06-29,171.2660369873047
2015-06-30,171.62457275390625
2015-07-01,173.00022888183594
2015-07-02,172.8418426513672
2015-07-06,172.34991455078125
2015-07-07,173.43373107910156
2015-07-08,170.52403259277344
2015-07-09,170.83253479003906
2015-07-10,172.98355102539062
2015-07-13,174.8927764892578
2015-07-14,175.65142822265625
2015-07-15,175.5931396484375
2015-07-16,177.0021514892578
2015-07-17,177.15225219726562
2015-07-20,177.243896484375
2015-07-21,176.5435791015625
2015-07-22,176.2267303466797
2015-07-23,175.23464965820312
2015-07-24,173.4171142578125
2015-07-27,172.4082794189453
2015-07-28,174.52597045898438
2015-07-29,175.72654724121094
2015-07-30,175.76824951171875
2015-07-31,175.50144958496094
2015-08-03,174.909423828125
2015-08-04,174.56761169433594
2015-08-05,175.1429443359375
2015-08-06,173.70892333984375
2015-08-07,173.37542724609375
2015-08-10,175.55978393554688
2015-08-11,173.97564697265625
2015-08-12,174.18409729003906
2015-08-13,173.9673309326172
2015-08-14,174.6009521484375
2015-08-17,175.57644653320312
2015-08-18,175.06788635253906
2015-08-19,173.68385314941406
2015-08-20,170.0570831298828
2015-08-21,164.93797302246094
2015-08-24,157.99301147460938
2015-08-25,156.1336669921875
2015-08-26,162.12831115722656
2015-08-27,166.13861083984375
2015-08-28,166.1468505859375
2015-08-31,164.80455017089844
2015-09-01,159.88555908203125
2015-09-02,162.92034912109375
2015-09-03,163.0370330810547
2015-09-04,160.56919860839844
2015-09-08,164.6044921875
2015-09-09,162.40342712402344
2015-09-10,163.28717041015625
2015-09-11,164.02920532226562
2015-09-14,163.42059326171875
2015-09-15,165.4632110595703
2015-09-16,166.89724731445312
2015-09-17,166.5220947265625
2015-09-18,163.80084228515625
2015-09-21,164.6472625732422
2015-09-22,162.51023864746094
2015-09-23,162.25047302246094
2015-09-24,161.6637725830078
2015-09-25,161.6218719482422
2015-09-28,157.56561279296875
2015-09-29,157.65780639648438
2015-09-30,160.59947204589844
2015-10-01,161.0184783935547
2015-10-02,163.42372131347656
2015-10-05,166.33180236816406
2015-10-06,165.76194763183594
2015-10-07,167.11962890625
2015-10-08,168.62814331054688
2015-10-09,168.7286834716797
2015-10-12,168.88795471191406
2015-10-13,167.8236083984375
2015-10-14,167.01907348632812
2015-10-15,169.5835723876953
2015-10-16,170.35455322265625
2015-10-19,170.4383544921875
2015-10-20,170.22052001953125
2015-10-21,169.1645050048828
2015-10-22,172.0223388671875
2015-10-23,173.90798950195312
2015-10-26,173.48056030273438
2015-10-27,173.14535522460938
2015-10-28,175.11477661132812
2015-10-29,175.0143280029297
