Date,LQD
2015-01-02,80.1242904663086
2015-01-05,80.45191192626953
2015-01-06,80.77954864501953
2015-01-07,80.88653564453125
2015-01-08,80.62576293945312
2015-01-09,80.8397216796875
2015-01-12,80.9935073852539
2015-01-13,81.0670394897461
2015-01-14,81.20747375488281
2015-01-15,81.62873840332031
2015-01-16,81.17406463623047
2015-01-20,81.36128234863281
2015-01-21,81.32786560058594
2015-01-22,81.28771209716797
2015-01-23,81.76246643066406
2015-01-26,81.74240112304688
2015-01-27,81.80261993408203
2015-01-28,82.35759735107422
2015-01-29,82.1636734008789
2015-01-30,82.8390121459961
2015-02-02,82.91610717773438
2015-02-03,82.24565124511719
2015-02-04,82.35960388183594
2015-02-05,82.09812927246094
2015-02-06,81.23993682861328
2015-02-09,81.2936019897461
2015-02-10,81.07233428955078
2015-02-11,81.12596893310547
2015-02-12,81.33377075195312
2015-02-13,81.0119857788086
2015-02-17,80.63654327392578
2015-02-18,80.92481994628906
2015-02-19,80.91144561767578
2015-02-20,81.0321044921875
2015-02-23,81.3069839477539
2015-02-24,81.83665466308594
2015-02-25,81.91041564941406
2015-02-26,81.46794128417969
2015-02-27,81.66233825683594
2015-03-02,80.95442962646484
2015-03-03,80.90738677978516
2015-03-04,80.85364532470703
2015-03-05,80.96114349365234
2015-03-06,80.10067749023438
2015-03-09,80.42332458496094
2015-03-10,80.5510482788086
2015-03-11,80.96114349365234
2015-03-12,80.8804702758789
2015-03-13,80.65189361572266
2015-03-16,80.73255920410156
2015-03-17,80.86705017089844
2015-03-18,81.8619613647461
2015-03-19,81.4451675415039
2015-03-20,81.6737289428711
2015-03-23,81.8619613647461
2015-03-24,81.98297119140625
2015-03-25,81.71409606933594
2015-03-26,81.20989990234375
2015-03-27,81.53260040283203
2015-03-30,81.6737289428711
2015-03-31,81.82162475585938
2015-04-01,82.05693817138672
2015-04-02,81.92210388183594
2015-04-06,82.02991485595703
2015-04-07,82.3265609741211
2015-04-08,82.29959106445312
2015-04-09,81.88165283203125
2015-04-10,81.99628448486328
2015-04-13,81.96923828125
2015-04-14,82.15800476074219
2015-04-15,82.21197509765625
2015-04-16,82.16478729248047
2015-04-17,82.38725280761719
2015-04-20,82.19172668457031
2015-04-21,82.17152404785156
2015-04-22,81.63897705078125
2015-04-23,81.84796905517578
2015-04-24,82.00298309326172
2015-04-27,81.94233703613281
2015-04-28,81.45698547363281
2015-04-29,80.78289031982422
2015-04-30,80.85030364990234
2015-05-01,80.40414428710938
2015-05-04,80.14730072021484
2015-05-05,80.0121078491211
2015-05-06,79.66738891601562
2015-05-07,79.98506927490234
2015-05-08,80.44474792480469
2015-05-11,79.63356018066406
2015-05-12,79.51868438720703
2015-05-13,79.44435119628906
2015-05-14,79.71469116210938
2015-05-15,80.26901245117188
2015-05-18,79.65386199951172
2015-05-19,79.2280044555664
2015-05-20,79.32266998291016
2015-05-21,79.70115661621094
2015-05-22,79.64710998535156
2015-05-26,79.99857330322266
2015-05-27,80.07977294921875
2015-05-28,79.91072845458984
2015-05-29,79.94451141357422
2015-06-01,79.4964599609375
2015-06-02,79.08979797363281
2015-06-03,78.58137512207031
2015-06-04,78.98809051513672
2015-06-05,78.58818054199219
2015-06-08,78.53400421142578
2015-06-09,78.18148040771484
2015-06-10,77.97140502929688
2015-06-11,78.66275787353516
2015-06-12,78.52713775634766
2015-06-15,78.51361846923828
2015-06-16,78.71018981933594
2015-06-17,78.70341491699219
2015-06-18,78.56109619140625
2015-06-19,78.98130798339844
2015-06-22,78.35774230957031
2015-06-23,78.18148040771484
2015-06-24,78.39837646484375
2015-06-25,78.26958465576172
2015-06-26,77.91031646728516
2015-06-29,78.58818054199219
2015-06-30,78.43904113769531
2015-07-01,78.18750762939453
2015-07-02,78.48661804199219
2015-07-06,78.79936981201172
2015-07-07,79.12564086914062
2015-07-08,79.23435974121094
2015-07-09,78.71096801757812
2015-07-10,78.20794677734375
2015-07-13,78.03797149658203
2015-07-14,78.10596466064453
2015-07-15,78.30985260009766
2015-07-16,78.4322509765625
2015-07-17,78.48661804199219
2015-07-20,78.30308532714844
2015-07-21,78.46623992919922
2015-07-22,78.56820678710938
2015-07-23,78.79936981201172
2015-07-24,78.765380859375
2015-07-27,78.77210235595703
2015-07-28,78.71096801757812
2015-07-29,78.64299774169922
2015-07-30,78.68376159667969
2015-07-31,79.09160614013672
2015-08-03,79.27571105957031
2015-08-04,78.87349700927734
2015-08-05,78.56675720214844
2015-08-06,78.7166976928711
2015-08-07,78.9893798828125
2015-08-10,78.67581176757812
2015-08-11,79.0030288696289
2015-08-12,78.88031005859375
2015-08-13,78.60762786865234
2015-08-14,78.68263244628906
2015-08-17,78.93486022949219
2015-08-18,78.63487243652344
2015-08-19,79.01664733886719
2015-08-20,79.0643539428711
2015-08-21,79.08478546142578
2015-08-24,78.86669921875
2015-08-25,78.46443939208984
2015-08-26,78.41677856445312
2015-08-27,78.49175262451172
2015-08-28,78.63487243652344
2015-08-31,78.43720245361328
2015-09-01,78.91236877441406
2015-09-02,78.7961654663086
2015-09-03,79.17217254638672
2015-09-04,79.34991455078125
2015-09-08,78.98075103759766
2015-09-09,79.15166473388672
2015-09-10,78.99441528320312
2015-09-11,79.0490951538086
2015-09-14,79.04228210449219
2015-09-15,78.44745635986328
2015-09-16,78.59104919433594
2015-09-17,79.24053192138672
2015-09-18,79.47984313964844
2015-09-21,79.07650756835938
2015-09-22,79.4183120727539
2015-09-23,79.37041473388672
2015-09-24,79.38414001464844
2015-09-25,79.14483642578125
2015-09-28,79.28157043457031
2015-09-29,79.38414001464844
2015-09-30,79.37041473388672
2015-10-01,79.35255432128906
2015-10-02,79.70230102539062
2015-10-05,79.48973846435547
