Date,XLP
2015-01-02,35.618255615234375
2015-01-05,35.36779022216797
2015-01-06,35.32358169555664
2015-01-07,35.927650451660156
2015-01-08,36.47279739379883
2015-01-09,36.17813491821289
2015-01-12,36.067626953125
2015-01-13,36.06025695800781
2015-01-14,35.94975662231445
2015-01-15,36.00868225097656
2015-01-16,36.295989990234375
2015-01-20,36.443336486816406
2015-01-21,36.62014389038086
2015-01-22,36.98847961425781
2015-01-23,36.57594299316406
2015-01-26,36.57594299316406
2015-01-27,36.15602493286133
2015-01-28,35.736122131347656
2015-01-29,36.02342987060547
2015-01-30,35.37514877319336
2015-02-02,35.7950553894043
2015-02-03,36.11183547973633
2015-02-04,36.12656021118164
2015-02-05,36.31072235107422
2015-02-06,36.148658752441406
2015-02-09,35.8760986328125
2015-02-10,36.295989990234375
2015-02-11,36.4654426574707
2015-02-12,36.63486862182617
2015-02-13,36.4654426574707
2015-02-17,36.47279739379883
2015-02-18,36.67169952392578
2015-02-19,36.43595886230469
2015-02-20,36.539085388183594
2015-02-23,36.64223098754883
2015-02-24,36.76747131347656
2015-02-25,36.64223098754883
2015-02-26,36.69379425048828
2015-02-27,36.841129302978516
2015-03-02,36.90743637084961
2015-03-03,36.76747131347656
2015-03-04,36.50962829589844
2015-03-05,36.63486862182617
2015-03-06,35.920291900634766
2015-03-09,36.11919403076172
2015-03-10,35.603515625
2015-03-11,35.3309440612793
2015-03-12,35.84662628173828
2015-03-13,35.566673278808594
2015-03-16,36.001319885253906
2015-03-17,35.74348831176758
2015-03-18,35.986595153808594
2015-03-19,35.82452392578125
2015-03-20,36.27367401123047
2015-03-23,36.332977294921875
2015-03-24,36.12544250488281
2015-03-25,36.0365104675293
2015-03-26,35.880859375
2015-03-27,36.103206634521484
2015-03-30,36.46638107299805
2015-03-31,36.12544250488281
2015-04-01,36.169918060302734
2015-04-02,36.41450500488281
2015-04-06,36.70357131958008
2015-04-07,36.53310012817383
2015-04-08,36.59238815307617
2015-04-09,36.69615936279297
2015-04-10,36.76285934448242
2015-04-13,36.59238815307617
2015-04-14,36.673912048339844
2015-04-15,36.570159912109375
2015-04-16,36.70357131958008
2015-04-17,36.36262130737305
2015-04-20,36.48862838745117
2015-04-21,36.555328369140625
2015-04-22,36.57756423950195
2015-04-23,36.451576232910156
2015-04-24,36.4589729309082
2015-04-27,36.258846282958984
2015-04-28,36.29591751098633
2015-04-29,35.969791412353516
2015-04-30,35.851200103759766
2015-05-01,36.17731857299805
2015-05-04,36.22920608520508
2015-05-05,35.94014358520508
2015-05-06,36.05131530761719
2015-05-07,36.14026641845703
2015-05-08,36.444149017333984
2015-05-11,36.29591751098633
2015-05-12,36.21438980102539
2015-05-13,36.199562072753906
2015-05-14,36.75544738769531
2015-05-15,36.87405014038086
2015-05-18,36.75544738769531
2015-05-19,36.65909194946289
2015-05-20,36.57756423950195
2015-05-21,36.65909194946289
2015-05-22,36.50343704223633
2015-05-26,36.21438980102539
2015-05-27,36.444149017333984
2015-05-28,36.39227294921875
2015-05-29,36.162506103515625
2015-06-01,36.162506103515625
2015-06-02,36.06615447998047
2015-06-03,36.043907165527344
2015-06-04,35.78449249267578
2015-06-05,35.27307891845703
2015-06-08,35.25825119018555
2015-06-09,35.42871856689453
2015-06-10,35.777095794677734
2015-06-11,35.76225662231445
2015-06-12,35.62143325805664
2015-06-15,35.36201858520508
2015-06-16,35.74742889404297
2015-06-17,35.94014358520508
2015-06-18,36.34037780761719
2015-06-19,36.28968048095703
2015-06-22,36.43137741088867
2015-06-23,36.274749755859375
2015-06-24,36.11068344116211
2015-06-25,36.043575286865234
2015-06-26,36.118133544921875
2015-06-29,35.558799743652344
2015-06-30,35.4991455078125
2015-07-01,35.95407485961914
2015-07-02,35.92424392700195
2015-07-06,35.89441680908203
2015-07-07,36.632728576660156
2015-07-08,36.22256088256836
2015-07-09,36.25237274169922
2015-07-10,36.677486419677734
2015-07-13,37.020538330078125
2015-07-14,37.080196380615234
2015-07-15,36.983245849609375
2015-07-16,37.36360549926758
2015-07-17,37.34123611450195
2015-07-20,37.4083366394043
2015-07-21,37.3188591003418
2015-07-22,37.4008903503418
2015-07-23,37.25919723510742
2015-07-24,37.050384521484375
2015-07-27,37.02801513671875
2015-07-28,37.445640563964844
2015-07-29,37.572410583496094
2015-07-30,37.445640563964844
2015-07-31,37.52021789550781
2015-08-03,37.572410583496094
2015-08-04,37.572410583496094
2015-08-05,37.90055465698242
2015-08-06,37.617156982421875
2015-08-07,37.4083366394043
2015-08-10,37.5500373840332
2015-08-11,37.415794372558594
2015-08-12,37.43818283081055
2015-08-13,37.28900909423828
