Date,XLY
2015-01-02,31.5737361907959
2015-01-05,30.969850540161133
2015-01-06,30.66130256652832
2015-01-07,31.146169662475586
2015-01-08,31.613401412963867
2015-01-09,31.24756622314453
2015-01-12,31.08005142211914
2015-01-13,31.08005142211914
2015-01-14,30.70538330078125
2015-01-15,30.30867576599121
2015-01-16,30.709794998168945
2015-01-20,30.533456802368164
2015-01-21,30.731836318969727
2015-01-22,31.309267044067383
2015-01-23,31.26517677307129
2015-01-26,31.428272247314453
2015-01-27,31.17702865600586
2015-01-28,30.77149772644043
2015-01-29,31.19025421142578
2015-01-30,30.850839614868164
2015-02-02,31.1285343170166
2015-02-03,31.789730072021484
2015-02-04,32.00129318237305
2015-02-05,32.199649810791016
2015-02-06,32.15117263793945
2015-02-09,32.027748107910156
2015-02-10,32.4200439453125
2015-02-11,32.428863525390625
2015-02-12,32.81236267089844
2015-02-13,33.010711669921875
2015-02-17,32.93577194213867
2015-02-18,32.91815185546875
2015-02-19,33.0195198059082
2015-02-20,33.253143310546875
2015-02-23,33.2222900390625
2015-02-24,33.38097381591797
2015-02-25,33.636627197265625
2015-02-26,33.53083419799805
2015-02-27,33.486759185791016
2015-03-02,33.887882232666016
2015-03-03,33.795310974121094
2015-03-04,33.61900329589844
2015-03-05,33.64104461669922
2015-03-06,33.23991394042969
2015-03-09,33.4294548034668
2015-03-10,32.90932846069336
2015-03-11,32.72859573364258
2015-03-12,33.394203186035156
2015-03-13,33.12972640991211
2015-03-16,33.517616271972656
2015-03-17,33.33248519897461
2015-03-18,33.627811431884766
2015-03-19,33.57933044433594
2015-03-20,33.95304489135742
2015-03-23,33.89555358886719
2015-03-24,33.718650817871094
2015-03-25,33.170230865478516
2015-03-26,32.96236038208008
2015-03-27,33.13042068481445
2015-03-30,33.470970153808594
2015-03-31,33.325016021728516
2015-04-01,33.179073333740234
2015-04-02,33.475399017333984
2015-04-06,33.63460159301758
2015-04-07,33.448856353759766
2015-04-08,33.76287078857422
2015-04-09,33.7938346862793
2015-04-10,33.9088134765625
2015-04-13,33.72306442260742
2015-04-14,33.70537567138672
2015-04-15,33.70537567138672
2015-04-16,33.77172088623047
2015-04-17,33.271942138671875
2015-04-20,33.639041900634766
2015-04-21,33.674442291259766
2015-04-22,33.70537567138672
2015-04-23,33.873443603515625
2015-04-24,34.333396911621094
2015-04-27,34.03265380859375
2015-04-28,33.913238525390625
2015-04-29,33.68328094482422
2015-04-30,33.30733871459961
2015-05-01,33.76728439331055
2015-05-04,33.83806228637695
2015-05-05,33.4842414855957
2015-05-06,33.34714126586914
2015-05-07,33.51962661743164
2015-05-08,33.87784957885742
2015-05-11,33.72749710083008
2015-05-12,33.66556930541992
2015-05-13,33.453277587890625
2015-05-14,33.60365295410156
2015-05-15,33.873443603515625
