Date,XLE
2015-01-02,25.365137100219727
2015-01-05,24.31583023071289
2015-01-06,23.958616256713867
2015-01-07,24.0096435546875
2015-01-08,24.548654556274414
2015-01-09,24.35409927368164
2015-01-12,23.652442932128906
2015-01-13,23.464271545410156
2015-01-14,23.53762435913086
2015-01-15,23.23781967163086
2015-01-16,23.99370574951172
2015-01-20,24.022415161132812
2015-01-21,24.51038360595703
2015-01-22,24.625192642211914
2015-01-23,24.449787139892578
2015-01-26,24.80061149597168
2015-01-27,24.784664154052734
2015-01-28,23.808719635009766
2015-01-29,23.88845443725586
2015-01-30,24.095766067504883
2015-02-02,24.832515716552734
2015-02-03,25.5118465423584
2015-02-04,25.090843200683594
2015-02-05,25.451250076293945
2015-02-06,25.45762062072754
2015-02-09,25.483139038085938
2015-02-10,25.470382690429688
2015-02-11,25.291778564453125
2015-02-12,25.62347412109375
2015-02-13,26.16567039489746
2015-02-17,26.245407104492188
2015-02-18,25.932849884033203
2015-02-19,25.811641693115234
2015-02-20,25.68726348876953
2015-02-23,25.582008361816406
2015-02-24,25.652177810668945
2015-02-25,25.792512893676758
2015-02-26,25.314102172851562
2015-02-27,25.202478408813477
2015-03-02,25.027061462402344
2015-03-03,25.119544982910156
2015-03-04,25.0844669342041
2015-03-05,24.934574127197266
2015-03-06,24.488054275512695
2015-03-09,24.312623977661133
2015-03-10,23.974563598632812
2015-03-11,24.044736862182617
2015-03-12,23.891643524169922
2015-03-13,23.80234146118164
2015-03-16,24.124462127685547
2015-03-17,24.03197479248047
2015-03-18,24.73044204711914
2015-03-19,24.338151931762695
2015-03-20,24.696195602416992
2015-03-23,24.609485626220703
2015-03-24,24.445724487304688
2015-03-25,24.763614654541016
2015-03-26,24.73472023010254
2015-03-27,24.532424926757812
2015-03-30,25.059040069580078
2015-03-31,24.91132164001465
2015-04-01,24.90489387512207
2015-04-02,24.95628547668457
2015-04-06,25.405824661254883
2015-04-07,25.42188835144043
2015-04-08,25.216373443603516
2015-04-09,25.620960235595703
2015-04-10,25.73335838317871
2015-04-13,25.476465225219727
2015-04-14,25.93564224243164
2015-04-15,26.555381774902344
2015-04-16,26.494384765625
2015-04-17,26.30171012878418
2015-04-20,26.401260375976562
2015-04-21,26.12188720703125
2015-04-22,26.2952880859375
2015-04-23,26.4751033782959
2015-04-24,26.32418441772461
2015-04-27,26.2952880859375
2015-04-28,26.426939010620117
2015-04-29,26.6324462890625
2015-04-30,26.548959732055664
2015-05-01,26.60996437072754
2015-05-04,26.54253578186035
2015-05-05,26.215011596679688
2015-05-06,26.11225700378418
2015-05-07,25.82969093322754
2015-05-08,26.253543853759766
2015-05-11,25.759042739868164
2015-05-12,25.877849578857422
2015-05-13,25.810422897338867
2015-05-14,25.8007869720459
2015-05-15,25.90355110168457
2015-05-18,25.92601203918457
2015-05-19,25.556743621826172
2015-05-20,25.604923248291016
2015-05-21,25.845741271972656
2015-05-22,25.75262451171875
2015-05-26,25.34481430053711
2015-05-27,25.299867630004883
2015-05-28,25.20032501220703
2015-05-29,25.171419143676758
2015-06-01,25.107202529907227
2015-06-02,25.280607223510742
2015-06-03,25.107202529907227
2015-06-04,24.766830444335938
2015-06-05,24.940227508544922
2015-06-08,24.798938751220703
2015-06-09,24.795730590820312
2015-06-10,25.100772857666016
2015-06-11,24.988386154174805
2015-06-12,24.70902442932129
2015-06-15,24.65122413635254
2015-06-16,24.843896865844727
2015-06-17,24.782888412475586
2015-06-18,24.766830444335938
2015-06-19,24.537010192871094
2015-06-22,24.837617874145508
2015-06-23,24.918428421020508
2015-06-24,24.76327133178711
2015-06-25,24.511144638061523
2015-06-26,24.591964721679688
2015-06-29,24.126497268676758
2015-06-30,24.294572830200195
2015-07-01,23.984277725219727
2015-07-02,24.0909423828125
2015-07-06,23.774173736572266
2015-07-07,23.990737915039062
2015-07-08,23.50588035583496
2015-07-09,23.625476837158203
2015-07-10,23.754772186279297
2015-07-13,23.922847747802734
2015-07-14,24.09416961669922
2015-07-15,23.670732498168945
