Date,XLF
2015-01-02,16.217979431152344
2015-01-05,15.876957893371582
2015-01-06,15.634313583374023
2015-01-07,15.798263549804688
2015-01-08,16.03435516357422
2015-01-09,15.817939758300781
2015-01-12,15.686776161193848
2015-01-13,15.634313583374023
2015-01-14,15.411348342895508
2015-01-15,15.221155166625977
2015-01-16,15.404783248901367
2015-01-20,15.339208602905273
2015-01-21,15.378552436828613
2015-01-22,15.758912086486816
2015-01-23,15.588408470153809
2015-01-26,15.667106628417969
2015-01-27,15.496600151062012
2015-01-28,15.214597702026367
2015-01-29,15.339208602905273
2015-01-30,15.089998245239258
2015-02-02,15.332653045654297
2015-02-03,15.588408470153809
2015-02-04,15.549054145812988
2015-02-05,15.706446647644043
2015-02-06,15.831053733825684
2015-02-09,15.75235652923584
2015-02-10,15.876957893371582
2015-02-11,15.876957893371582
2015-02-12,16.03435516357422
2015-02-13,16.0212345123291
2015-02-17,16.073698043823242
2015-02-18,15.975327491760254
2015-02-19,15.90975570678711
2015-02-20,16.027793884277344
2015-02-23,15.988442420959473
2015-02-24,16.067142486572266
2015-02-25,16.067142486572266
2015-02-26,16.027793884277344
2015-02-27,15.96877384185791
2015-03-02,16.086824417114258
2015-03-03,16.04091453552246
2015-03-04,15.942543029785156
2015-03-05,16.008121490478516
2015-03-06,15.89007568359375
2015-03-09,15.96221923828125
2015-03-10,15.621201515197754
2015-03-11,15.719565391540527
2015-03-12,16.060585021972656
2015-03-13,15.949101448059082
2015-03-16,16.14583969116211
2015-03-17,16.10649871826172
2015-03-18,16.198305130004883
2015-03-19,16.047473907470703
2015-03-20,16.265348434448242
2015-03-23,16.173194885253906
2015-03-24,16.041549682617188
2015-03-25,15.784830093383789
2015-03-26,15.771658897399902
2015-03-27,15.75191879272461
2015-03-30,15.982303619384766
2015-03-31,15.870401382446289
2015-04-01,15.8572359085083
2015-04-02,15.936223983764648
2015-04-06,15.962555885314941
2015-04-07,15.876984596252441
2015-04-08,15.936223983764648
2015-04-09,15.962555885314941
2015-04-10,15.955970764160156
2015-04-13,16.015214920043945
2015-04-14,16.015214920043945
2015-04-15,16.0744571685791
2015-04-16,16.100791931152344
2015-04-17,15.883563995361328
2015-04-20,15.949389457702637
2015-04-21,15.870401382446289
2015-04-22,15.982303619384766
2015-04-23,16.00863265991211
2015-04-24,15.982303619384766
2015-04-27,15.923062324523926
2015-04-28,16.015214920043945
2015-04-29,16.00863265991211
2015-04-30,15.883563995361328
2015-05-01,16.02180290222168
2015-05-04,16.179780960083008
2015-05-05,16.034957885742188
2015-05-06,15.955970764160156
2015-05-07,16.06787872314453
2015-05-08,16.29826545715332
2015-05-11,16.23902130126953
2015-05-12,16.179780960083008
2015-05-13,16.186365127563477
2015-05-14,16.331172943115234
2015-05-15,16.25876808166504
2015-05-18,16.350923538208008
2015-05-19,16.44307518005371
2015-05-20,16.39699935913086
2015-05-21,16.357505798339844
2015-05-22,16.364091873168945
2015-05-26,16.179780960083008
2015-05-27,16.357505798339844
2015-05-28,16.337757110595703
2015-05-29,16.192947387695312
2015-06-01,16.20610809326172
2015-06-02,16.232440948486328
2015-06-03,16.370670318603516
2015-06-04,16.225854873657227
2015-06-05,16.31801414489746
2015-06-08,16.21927261352539
2015-06-09,16.25876808166504
2015-06-10,16.489158630371094
2015-06-11,16.554981231689453
2015-06-12,16.482574462890625
2015-06-15,16.410167694091797
2015-06-16,16.50232696533203
2015-06-17,16.482574462890625
2015-06-18,16.633970260620117
2015-06-19,16.356300354003906
2015-06-22,16.607521057128906
2015-06-23,16.64057731628418
2015-06-24,16.501745223999023
2015-06-25,16.402572631835938
2015-06-26,16.45546531677246
2015-06-29,16.05879020690918
2015-06-30,16.1182918548584
2015-07-01,16.362905502319336
2015-07-02,16.290184020996094
2015-07-06,16.224069595336914
2015-07-07,16.25713348388672
2015-07-08,15.972846031188965
2015-07-09,16.09845733642578
2015-07-10,16.290184020996094
2015-07-13,16.488525390625
2015-07-14,16.528186798095703
2015-07-15,16.667028427124023
2015-07-16,16.832307815551758
2015-07-17,16.786033630371094
2015-07-20,16.805862426757812
2015-07-21,16.786033630371094
2015-07-22,16.91164207458496
2015-07-23,16.766193389892578
2015-07-24,16.607521057128906
2015-07-27,16.488525390625
2015-07-28,16.55463981628418
2015-07-29,16.719921112060547
2015-07-30,16.719921112060547
2015-07-31,16.667028427124023
2015-08-03,16.647192001342773
2015-08-04,16.620750427246094
2015-08-05,16.686864852905273
