Date,XLV
2015-01-02,56.80729293823242
2015-01-05,56.51760482788086
2015-01-06,56.32722473144531
2015-01-07,57.65159225463867
2015-01-08,58.63658905029297
2015-01-09,58.115116119384766
2015-01-12,58.13993835449219
2015-01-13,57.883358001708984
2015-01-14,57.79229736328125
2015-01-15,57.17151641845703
2015-01-16,58.24757385253906
2015-01-20,58.24757385253906
2015-01-21,58.363426208496094
2015-01-22,59.0587272644043
2015-01-23,58.71934509277344
2015-01-26,59.02565383911133
2015-01-27,58.60348129272461
2015-01-28,57.75920486450195
2015-01-29,58.24757385253906
2015-01-30,57.3370361328125
2015-02-02,57.65986251831055
2015-02-03,58.04890060424805
2015-02-04,57.32048797607422
2015-02-05,58.288936614990234
2015-02-06,57.75920486450195
2015-02-09,57.08046340942383
2015-02-10,58.0406494140625
2015-02-11,58.098567962646484
2015-02-12,58.30552673339844
2015-02-13,58.53728485107422
2015-02-17,58.95942687988281
2015-02-18,59.02565383911133
2015-02-19,59.124977111816406
2015-02-20,59.74577331542969
2015-02-23,60.018917083740234
2015-02-24,59.944427490234375
2015-02-25,59.91957092285156
2015-02-26,60.08513641357422
2015-02-27,59.79541015625
2015-03-02,60.333465576171875
2015-03-03,59.78715133666992
2015-03-04,60.07686233520508
2015-03-05,60.29204177856445
2015-03-06,59.10841369628906
2015-03-09,59.47261047363281
2015-03-10,58.81043243408203
2015-03-11,58.777305603027344
2015-03-12,59.55540084838867
2015-03-13,59.43950653076172
2015-03-16,60.755611419677734
2015-03-17,60.58176040649414
2015-03-18,61.36809539794922
2015-03-19,61.72404479980469
2015-03-20,62.17060089111328
2015-03-23,61.996299743652344
2015-03-24,61.45677185058594
2015-03-25,60.336204528808594
2015-03-26,60.19508361816406
2015-03-27,60.62672805786133
2015-03-30,61.240962982177734
2015-03-31,60.17849349975586
2015-04-01,59.57253646850586
2015-04-02,59.755165100097656
2015-04-06,59.84647750854492
2015-04-07,59.987579345703125
2015-04-08,60.493896484375
2015-04-09,60.95045852661133
2015-04-10,61.47336959838867
2015-04-13,61.141357421875
2015-04-14,61.240962982177734
2015-04-15,61.3986701965332
2015-04-16,61.365455627441406
2015-04-17,60.834224700927734
2015-04-20,61.2077522277832
2015-04-21,61.61445999145508
2015-04-22,61.714088439941406
2015-04-23,61.94648742675781
2015-04-24,61.74726867675781
2015-04-27,60.62672805786133
2015-04-28,60.925540924072266
2015-04-29,60.369415283203125
2015-04-30,59.52273941040039
2015-05-01,60.3278923034668
2015-05-04,60.709716796875
2015-05-05,59.94608688354492
2015-05-06,59.71367263793945
2015-05-07,59.995880126953125
2015-05-08,60.96699905395508
2015-05-11,61.0002326965332
2015-05-12,60.61011505126953
2015-05-13,60.67652130126953
2015-05-14,61.51485824584961
2015-05-15,61.63936233520508
2015-05-18,62.00459671020508
2015-05-19,62.295108795166016
2015-05-20,62.37813949584961
2015-05-21,62.38643264770508
2015-05-22,62.23703384399414
2015-05-26,61.60617446899414
2015-05-27,62.32003402709961
2015-05-28,62.36151123046875
2015-05-29,62.20382308959961
2015-06-01,62.452842712402344
2015-06-02,62.04608154296875
2015-06-03,62.16229248046875
2015-06-04,61.73069381713867
2015-06-05,61.70576858520508
2015-06-08,61.3986701965332
2015-06-09,61.38205337524414
2015-06-10,62.13739776611328
2015-06-11,62.56071853637695
2015-06-12,61.78877639770508
2015-06-15,61.863487243652344
2015-06-16,62.17060089111328
2015-06-17,62.228694915771484
2015-06-18,63.10853958129883
2015-06-19,63.05939483642578
2015-06-22,63.550846099853516
2015-06-23,63.675777435302734
2015-06-24,63.034423828125
2015-06-25,63.384239196777344
2015-06-26,63.2926139831543
2015-06-29,61.7434196472168
2015-06-30,61.95997619628906
2015-07-01,62.62629699707031
2015-07-02,62.33478546142578
2015-07-06,62.30978775024414
2015-07-07,62.60965347290039
2015-07-08,61.53520584106445
2015-07-09,61.868350982666016
2015-07-10,62.70125198364258
2015-07-13,63.23432922363281
2015-07-14,63.867347717285156
2015-07-15,63.95059585571289
2015-07-16,64.2504653930664
2015-07-17,64.10887145996094
2015-07-20,64.31710052490234
2015-07-21,64.03392791748047
2015-07-22,64.1755142211914
2015-07-23,63.942291259765625
2015-07-24,62.34309768676758
2015-07-27,62.28483581542969
2015-07-28,63.409236907958984
2015-07-29,63.51749038696289
2015-07-30,63.42588806152344
2015-07-31,63.792362213134766
2015-08-03,63.742408752441406
2015-08-04,63.709110260009766
2015-08-05,64.24213409423828
2015-08-06,62.84285354614258
2015-08-07,62.73457717895508
2015-08-10,63.24266052246094
2015-08-11,62.709598541259766
2015-08-12,62.751251220703125
2015-08-13,62.60965347290039
2015-08-14,62.7845573425293
2015-08-17,63.417579650878906
2015-08-18,63.32593536376953
2015-08-19,63.06775665283203
2015-08-20,61.6018180847168
2015-08-21,59.719451904296875
2015-08-24,57.179100036621094
2015-08-25,56.604393005371094
2015-08-26,58.99485397338867
2015-08-27,60.144222259521484
2015-08-28,59.802738189697266
2015-08-31,58.71164321899414
2015-09-01,57.170772552490234
2015-09-02,58.345157623291016
2015-09-03,57.92870330810547
2015-09-04,57.20406723022461
2015-09-08,58.803287506103516
2015-09-09,57.8953971862793
2015-09-10,58.45344543457031
2015-09-11,58.828243255615234
2015-09-14,58.64502716064453
2015-09-15,59.48622512817383
2015-09-16,59.65282440185547
2015-09-17,60.194217681884766
2015-09-18,59.275550842285156
2015-09-21,58.489749908447266
2015-09-22,58.13032531738281
2015-09-23,58.07180404663086
2015-09-24,57.478294372558594
2015-09-25,55.906742095947266
2015-09-28,53.7417106628418
2015-09-29,54.234886169433594
2015-09-30,55.363407135009766
2015-10-01,55.9234733581543
2015-10-02,57.08541488647461
2015-10-05,57.235870361328125
2015-10-06,55.890037536621094
2015-10-07,56.784488677978516
2015-10-08,56.951656341552734
2015-10-09,57.21080017089844
2015-10-12,57.36127471923828
2015-10-13,56.64236068725586
2015-10-14,56.53369140625
2015-10-15,57.795936584472656
2015-10-16,58.31420135498047
2015-10-19,58.523193359375
2015-10-20,57.60368728637695
2015-10-21,57.08541488647461
2015-10-22,56.742679595947266
2015-10-23,57.95478439331055
2015-10-26,58.18046569824219
2015-10-27,59.250450134277344
2015-10-28,59.743656158447266
2015-10-29,60.011165618896484
2015-10-30,59.63497543334961
2015-11-02,60.90559387207031
2015-11-03,60.688228607177734
2015-11-04,60.42074966430664
2015-11-05,60.228485107421875
2015-11-06,59.97771453857422
2015-11-09,59.5179557800293
2015-11-10,59.919193267822266
2015-11-11,59.32569885253906
2015-11-12,58.29749298095703
2015-11-13,58.15538787841797
2015-11-16,58.88266372680664
2015-11-17,59.13343811035156
2015-11-18,60.28700256347656
2015-11-19,59.275550842285156
2015-11-20,59.78544998168945
2015-11-23,59.63497543334961
2015-11-24,59.81888198852539
2015-11-25,60.14490509033203
2015-11-27,60.261898040771484
2015-11-30,59.442726135253906
2015-12-01,60.445831298828125
2015-12-02,59.935916900634766
2015-12-03,58.623504638671875
2015-12-04,60.002784729003906
2015-12-07,59.668418884277344
2015-12-08,59.802188873291016
2015-12-09,59.200286865234375
2015-12-10,59.643333435058594
2015-12-11,58.765625
2015-12-14,59.150169372558594
2015-12-15,59.919193267822266
2015-12-16,60.696617126464844
2015-12-17,60.04460906982422
2015-12-18,59.1740608215332
2015-12-21,59.71131896972656
2015-12-22,60.1142463684082
2015-12-23,60.76063919067383
2015-12-24,60.81942367553711
2015-12-28,60.53400802612305
2015-12-29,61.272708892822266
2015-12-30,61.01248550415039
2015-12-31,60.46683120727539
2016-01-04,59.37553405761719
2016-01-05,59.660972595214844
2016-01-06,59.1740608215332
2016-01-07,57.97360610961914
2016-01-08,57.100563049316406
2016-01-11,56.42059326171875
2016-01-12,57.14255142211914
2016-01-13,55.44682312011719
2016-01-14,56.93267059326172
2016-01-15,56.13519287109375
2016-01-19,56.12678146362305
2016-01-20,56.23591613769531
2016-01-21,56.06801986694336
2016-01-22,56.95787048339844
2016-01-25,56.42900848388672
2016-01-26,56.85712814331055
2016-01-27,56.210731506347656
2016-01-28,54.90116500854492
2016-01-29,55.79938888549805
2016-02-01,55.88335037231445
2016-02-02,55.07745361328125
2016-02-03,55.438419342041016
