Date,XLU
2015-01-02,16.406503677368164
2015-01-05,16.205923080444336
2015-01-06,16.216291427612305
2015-01-07,16.37537956237793
2015-01-08,16.489501953125
2015-01-09,16.38575553894043
2015-01-12,16.34771156311035
2015-01-13,16.392675399780273
2015-01-14,16.534465789794922
2015-01-15,16.66588592529297
2015-01-16,16.814598083496094
2015-01-20,16.856094360351562
2015-01-21,17.018640518188477
2015-01-22,16.946014404296875
2015-01-23,16.99443244934082
2015-01-26,16.98404884338379
2015-01-27,17.008270263671875
2015-01-28,16.863014221191406
2015-01-29,17.087806701660156
2015-01-30,16.71084213256836
2015-02-02,16.783475875854492
2015-02-03,16.845718383789062
2015-02-04,16.641679763793945
2015-02-05,16.793846130371094
2015-02-06,16.1021671295166
2015-02-09,15.960379600524902
2015-02-10,16.288923263549805
2015-02-11,15.936164855957031
2015-02-12,15.86353874206543
2015-02-13,15.621458053588867
2015-02-17,15.607623100280762
2015-02-18,15.977669715881348
2015-02-19,15.797831535339355
2015-02-20,15.801295280456543
2015-02-23,15.90849781036377
2015-02-24,16.026084899902344
2015-02-25,15.7632474899292
2015-02-26,15.659502983093262
2015-02-27,15.642212867736816
2015-03-02,15.341330528259277
2015-03-03,15.43470287322998
2015-03-04,15.348244667053223
2015-03-05,15.469286918640137
2015-03-06,15.005866050720215
2015-03-09,15.033535957336426
2015-03-10,15.005866050720215
2015-03-11,14.909036636352539
2015-03-12,15.192623138427734
2015-03-13,15.036994934082031
2015-03-16,15.296372413635254
2015-03-17,15.272161483764648
2015-03-18,15.683709144592285
2015-03-19,15.538456916809082
2015-03-20,15.678231239318848
2015-03-23,15.68868637084961
2015-03-24,15.514402389526367
2015-03-25,15.333155632019043
2015-03-26,15.20418643951416
2015-03-27,15.294812202453613
2015-03-30,15.483037948608398
2015-03-31,15.486523628234863
2015-04-01,15.50046157836914
2015-04-02,15.528349876403809
2015-04-06,15.74445915222168
2015-04-07,15.56319808959961
2015-04-08,15.517887115478516
2015-04-09,15.451662063598633
2015-04-10,15.566689491271973
2015-04-13,15.413320541381836
2015-04-14,15.49000358581543
2015-04-15,15.528349876403809
2015-04-16,15.427264213562012
2015-04-17,15.371495246887207
2015-04-20,15.601544380187988
2015-04-21,15.462122917175293
2015-04-22,15.49349308013916
2015-04-23,15.5806303024292
2015-04-24,15.73748779296875
2015-04-27,15.549261093139648
2015-04-28,15.66080093383789
2015-04-29,15.594571113586426
2015-04-30,15.413320541381836
2015-05-01,15.50046157836914
2015-05-04,15.615486145019531
2015-05-05,15.26693058013916
2015-05-06,15.183279037475586
2015-05-07,15.239043235778809
2015-05-08,15.347094535827637
2015-05-11,15.242528915405273
2015-05-12,15.225107192993164
2015-05-13,15.075213432312012
2015-05-14,15.249500274658203
2015-05-15,15.4481840133667
2015-05-18,15.507438659667969
2015-05-19,15.542289733886719
2015-05-20,15.566689491271973
2015-05-21,15.55971908569336
2015-05-22,15.535314559936523
2015-05-26,15.437723159790039
2015-05-27,15.50046157836914
2015-05-28,15.535314559936523
2015-05-29,15.51092529296875
2015-06-01,15.531831741333008
2015-06-02,15.32618522644043
2015-06-03,15.099618911743164
2015-06-04,15.078706741333008
2015-06-05,14.890480995178223
2015-06-08,14.8033447265625
2015-06-09,14.768489837646484
2015-06-10,14.841680526733398
2015-06-11,14.960192680358887
2015-06-12,14.827739715576172
2015-06-15,14.8033447265625
2015-06-16,14.873051643371582
2015-06-17,14.99853515625
2015-06-18,15.197220802307129
2015-06-19,15.05054759979248
2015-06-22,15.029439926147461
2015-06-23,14.825435638427734
2015-06-24,14.709369659423828
2015-06-25,14.610880851745605
2015-06-26,14.69881820678711
2015-06-29,14.621432304382324
2015-06-30,14.582741737365723
2015-07-01,14.670679092407227
2015-07-02,14.8535795211792
2015-07-06,14.913372039794922
2015-07-07,15.282689094543457
2015-07-08,15.201786041259766
2015-07-09,15.032953262329102
2015-07-10,15.113853454589844
2015-07-13,15.120890617370605
2015-07-14,15.0997896194458
2015-07-15,15.1736478805542
2015-07-16,15.398758888244629
2015-07-17,15.247512817382812
2015-07-20,15.170132637023926
2015-07-21,15.032953262329102
2015-07-22,15.0997896194458
2015-07-23,14.874680519104004
2015-07-24,14.88874626159668
2015-07-27,15.078683853149414
2015-07-28,15.149030685424805
2015-07-29,15.205303192138672
2015-07-30,15.31785774230957
2015-07-31,15.47262191772461
2015-08-03,15.553521156311035
2015-08-04,15.303789138793945
2015-08-05,15.34247875213623
2015-08-06,15.42337417602539
2015-08-07,15.613308906555176
2015-08-10,15.549996376037598
2015-08-11,15.627386093139648
2015-08-12,15.905254364013672
2015-08-13,15.908769607543945
2015-08-14,16.028350830078125
2015-08-17,16.105735778808594
2015-08-18,16.067047119140625
2015-08-19,16.13387680053711
2015-08-20,16.03891372680664
2015-08-21,15.845455169677734
2015-08-24,15.251028060913086
2015-08-25,14.783227920532227
2015-08-26,15.047026634216309
2015-08-27,15.222895622253418
2015-08-28,15.177168846130371
2015-08-31,14.934473037719727
2015-09-01,14.529985427856445
2015-09-02,14.540532112121582
2015-09-03,14.60736083984375
2015-09-04,14.406875610351562
2015-09-08,14.71288013458252
2015-09-09,14.529985427856445
2015-09-10,14.505359649658203
2015-09-11,14.614394187927246
2015-09-14,14.649569511413574
2015-09-15,14.726954460144043
2015-09-16,14.874680519104004
2015-09-17,15.078683853149414
2015-09-18,14.993826866149902
2015-09-21,15.054184913635254
2015-09-22,14.866006851196289
2015-09-23,14.905059814453125
2015-09-24,15.025787353515625
2015-09-25,15.17135238647461
2015-09-28,15.096790313720703
2015-09-29,15.10033893585205
2015-09-30,15.370183944702148
2015-10-01,15.189106941223145
2015-10-02,15.391487121582031
2015-10-05,15.590315818786621
2015-10-06,15.483798027038574
2015-10-07,15.4305419921875
2015-10-08,15.622269630432129
2015-10-09,15.547704696655273
2015-10-12,15.686180114746094
2015-10-13,15.650672912597656
2015-10-14,15.647119522094727
2015-10-15,15.877900123596191
2015-10-16,15.899208068847656
2015-10-19,15.909855842590332
2015-10-20,15.963106155395508
2015-10-21,15.931159019470215
2015-10-22,16.11579132080078
2015-10-23,15.831746101379395
2015-10-26,15.774940490722656
2015-10-27,15.718132019042969
2015-10-28,15.551251411437988
2015-10-29,15.462494850158691
2015-10-30,15.533506393432617
2015-11-02,15.551251411437988
