Date,XLI
2015-01-02,46.09797668457031
2015-01-05,45.021183013916016
2015-01-06,44.46648025512695
2015-01-07,44.80094528198242
2015-01-08,45.69825744628906
2015-01-09,45.20882034301758
2015-01-12,44.89883804321289
2015-01-13,44.80910110473633
2015-01-14,44.564395904541016
2015-01-15,44.35227966308594
2015-01-16,44.645957946777344
2015-01-20,44.96409606933594
2015-01-21,45.33116912841797
2015-01-22,46.057193756103516
2015-01-23,45.673789978027344
2015-01-26,45.730899810791016
2015-01-27,45.12724685668945
2015-01-28,44.73568344116211
2015-01-29,45.249610900878906
2015-01-30,44.51542282104492
2015-02-02,45.17619323730469
2015-02-03,45.910362243652344
2015-02-04,45.559593200683594
2015-02-05,45.95115280151367
2015-02-06,45.845096588134766
2015-02-09,45.72273635864258
2015-02-10,45.975624084472656
2015-02-11,45.991939544677734
2015-02-12,46.424285888671875
2015-02-13,46.63637161254883
2015-02-17,46.70163345336914
2015-02-18,46.962684631347656
2015-02-19,47.04425048828125
2015-02-20,47.44397735595703
2015-02-23,47.24003219604492
2015-02-24,47.427650451660156
2015-02-25,47.32976531982422
2015-02-26,47.117671966552734
2015-02-27,46.89742660522461
2015-03-02,47.32976531982422
2015-03-03,47.02793502807617
2015-03-04,46.66085433959961
2015-03-05,46.69348907470703
2015-03-06,46.057193756103516
2015-03-09,46.48953628540039
2015-03-10,45.63300323486328
2015-03-11,45.58406448364258
2015-03-12,46.17140197753906
2015-03-13,45.747215270996094
2015-03-16,46.50585174560547
2015-03-17,46.318233489990234
2015-03-18,46.86479187011719
2015-03-19,46.546653747558594
2015-03-20,46.80970001220703
2015-03-23,46.41634750366211
2015-03-24,46.26064682006836
2015-03-25,45.473915100097656
2015-03-26,45.35099792480469
2015-03-27,45.523094177246094
2015-03-30,46.16230392456055
2015-03-31,45.70339584350586
2015-04-01,45.4001579284668
2015-04-02,45.42475128173828
2015-04-06,45.76894760131836
2015-04-07,45.66241455078125
2015-04-08,45.81810760498047
2015-04-09,46.03938293457031
2015-04-10,46.6867790222168
2015-04-13,46.24424743652344
2015-04-14,46.301605224609375
2015-04-15,46.38356399536133
2015-04-16,46.28523635864258
2015-04-17,45.727970123291016
2015-04-20,46.26064682006836
2015-04-21,46.203285217285156
2015-04-22,46.39995574951172
2015-04-23,46.350791931152344
2015-04-24,46.15411376953125
2015-04-27,46.13771438598633
2015-04-28,46.219669342041016
2015-04-29,45.990211486816406
2015-04-30,45.588661193847656
2015-05-01,46.16230392456055
2015-05-04,46.236053466796875
2015-05-05,45.61323165893555
2015-05-06,45.588661193847656
2015-05-07,45.8263053894043
2015-05-08,46.36717224121094
2015-05-11,46.326210021972656
2015-05-12,46.27702331542969
2015-05-13,46.37539291381836
2015-05-14,46.84247970581055
2015-05-15,46.80150604248047
2015-05-18,46.891658782958984
2015-05-19,46.76054763793945
2015-05-20,46.588443756103516
2015-05-21,46.84247970581055
2015-05-22,46.629425048828125
2015-05-26,46.121334075927734
2015-05-27,46.41634750366211
2015-05-28,46.1950798034668
2015-05-29,45.73616409301758
2015-06-01,45.94104766845703
2015-06-02,46.03118133544922
2015-06-03,46.26064682006836
2015-06-04,45.7443733215332
2015-06-05,45.77714157104492
2015-06-08,45.44114303588867
2015-06-09,45.432952880859375
2015-06-10,45.883670806884766
2015-06-11,46.14590835571289
2015-06-12,45.87548065185547
2015-06-15,45.49032211303711
2015-06-16,45.531288146972656
2015-06-17,45.65420150756836
2015-06-18,46.113136291503906
2015-06-19,45.88912582397461
2015-06-22,46.16913986206055
2015-06-23,46.0538330078125
2015-06-24,45.62556838989258
2015-06-25,45.271446228027344
2015-06-26,45.35380935668945
2015-06-29,44.49728775024414
2015-06-30,44.522010803222656
2015-07-01,44.74436569213867
2015-07-02,44.6619987487793
2015-07-06,44.48906707763672
2015-07-07,44.851436614990234
2015-07-08,44.04432678222656
2015-07-09,44.15140151977539
2015-07-10,44.61259841918945
2015-07-13,45.10673904418945
2015-07-14,45.23026657104492
2015-07-15,45.04084396362305
2015-07-16,45.246742248535156
2015-07-17,45.23026657104492
2015-07-20,45.238502502441406
2015-07-21,44.752593994140625
2015-07-22,44.554935455322266
2015-07-23,44.14315414428711
2015-07-24,43.56668472290039
2015-07-27,43.3525390625
2015-07-28,44.19257736206055
2015-07-29,44.736141204833984
2015-07-30,44.6949577331543
2015-07-31,44.65377426147461
2015-08-03,44.439640045166016
2015-08-04,44.41494369506836
2015-08-05,44.6619987487793
2015-08-06,44.43141174316406
2015-08-07,44.21726608276367
2015-08-10,45.08203125
2015-08-11,44.53023147583008
2015-08-12,44.53847122192383
2015-08-13,44.505523681640625
2015-08-14,44.78554153442383
2015-08-17,45.00790786743164
2015-08-18,44.92555236816406
2015-08-19,44.505523681640625
2015-08-20,43.583126068115234
2015-08-21,42.3807258605957
2015-08-24,40.87360382080078
2015-08-25,40.33828353881836
2015-08-26,41.59833908081055
2015-08-27,42.60309600830078
2015-08-28,42.61955642700195
2015-08-31,42.240718841552734
2015-09-01,41.12066650390625
2015-09-02,42.034820556640625
2015-09-03,42.059539794921875
2015-09-04,41.47480010986328
2015-09-08,42.61955642700195
2015-09-09,42.16661071777344
2015-09-10,42.191307067871094
2015-09-11,42.42189407348633
2015-09-14,42.2077751159668
2015-09-15,42.94075393676758
2015-09-16,43.25370788574219
2015-09-17,43.06429672241211
2015-09-18,42.11290740966797
2015-09-21,42.31990051269531
2015-09-22,41.70718765258789
2015-09-23,41.4173698425293
2015-09-24,41.160682678222656
2015-09-25,41.24348449707031
2015-09-28,40.43202590942383
2015-09-29,40.69697570800781
2015-09-30,41.30971908569336
2015-10-01,41.21864700317383
2015-10-02,41.74029541015625
2015-10-05,42.924354553222656
2015-10-06,42.88296127319336
2015-10-07,43.446014404296875
2015-10-08,44.05046081542969
2015-10-09,44.19950485229492
2015-10-12,44.207767486572266
2015-10-13,43.7358283996582
2015-10-14,43.263851165771484
2015-10-15,43.7358283996582
2015-10-16,43.512245178222656
2015-10-19,43.5702018737793
2015-10-20,43.860015869140625
2015-10-21,43.868289947509766
2015-10-22,45.0937614440918
2015-10-23,45.259368896484375
2015-10-26,45.15998840332031
2015-10-27,44.66320037841797
2015-10-28,45.019229888916016
2015-10-29,44.9943962097168
2015-10-30,44.936439514160156
2015-11-02,45.45808410644531
2015-11-03,45.4912109375
2015-11-04,45.36699676513672
2015-11-05,45.424964904785156
2015-11-06,45.424964904785156
2015-11-09,45.07720184326172
2015-11-10,45.06891632080078
2015-11-11,45.12688064575195
2015-11-12,44.51414108276367
2015-11-13,44.31542205810547
2015-11-16,44.88674545288086
2015-11-17,44.79567337036133
2015-11-18,45.41666793823242
2015-11-19,45.61539840698242
2015-11-20,45.84725570678711
2015-11-23,45.61539840698242
2015-11-24,45.54087829589844
2015-11-25,45.54087829589844
2015-11-27,45.623687744140625
2015-11-30,45.32559585571289
2015-12-01,45.54087829589844
2015-12-02,45.07720184326172
2015-12-03,44.51414108276367
2015-12-04,45.17655563354492
2015-12-07,44.95299530029297
2015-12-08,44.23261642456055
2015-12-09,44.10013198852539
2015-12-10,44.30713653564453
2015-12-11,43.561927795410156
2015-12-14,43.71925354003906
2015-12-15,43.7275276184082
2015-12-16,44.505863189697266
2015-12-17,43.76893997192383
2015-12-18,43.101654052734375
2015-12-21,43.434879302978516
2015-12-22,44.03466796875
2015-12-23,44.5511474609375
2015-12-24,44.53450012207031
2015-12-28,44.434532165527344
2015-12-29,44.85938262939453
2015-12-30,44.48452377319336
2015-12-31,44.15962600708008
2016-01-04,43.56816864013672
2016-01-05,43.684791564941406
2016-01-06,43.01002502441406
2016-01-07,41.843772888183594
2016-01-08,41.41893005371094
2016-01-11,41.44390106201172
2016-01-12,41.777122497558594
2016-01-13,40.769134521484375
2016-01-14,41.25231170654297
2016-01-15,40.527557373046875
2016-01-19,40.519229888916016
2016-01-20,39.99441909790039
2016-01-21,40.16936111450195
2016-01-22,40.519229888916016
2016-01-25,40.01939010620117
2016-01-26,40.7774772644043
2016-01-27,40.31929397583008
2016-01-28,40.552547454833984
2016-01-29,41.643836975097656
2016-02-01,41.54387664794922
2016-02-02,40.71083450317383
2016-02-03,41.368934631347656
2016-02-04,42.085357666015625
2016-02-05,41.68549346923828
2016-02-08,41.33560562133789
2016-02-09,41.58551788330078
2016-02-10,41.368934631347656
2016-02-11,40.56087112426758
2016-02-12,41.37726593017578
2016-02-16,42.21030044555664
2016-02-17,42.86009216308594
2016-02-18,42.83509063720703
2016-02-19,42.75178146362305
2016-02-22,43.47653579711914
2016-02-23,43.0433464050293
2016-02-24,43.06835174560547
2016-02-25,43.634803771972656
2016-02-26,43.69313430786133
2016-02-29,43.41822814941406
2016-03-01,44.267906188964844
2016-03-02,44.30125427246094
2016-03-03,44.6177978515625
2016-03-04,44.801063537597656
2016-03-07,44.934356689453125
2016-03-08,44.30125427246094
2016-03-09,44.44286346435547
2016-03-10,44.376216888427734
2016-03-11,45.01767349243164
2016-03-14,45.059322357177734
2016-03-15,45.03433609008789
2016-03-16,45.192596435546875
2016-03-17,46.18391799926758
2016-03-18,46.579978942871094
2016-03-21,46.856285095214844
2016-03-22,46.58834457397461
2016-03-23,46.28691101074219
2016-03-24,46.1529426574707
2016-03-28,46.169681549072266
2016-03-29,46.47112274169922
2016-03-30,46.554866790771484
2016-03-31,46.446014404296875
2016-04-01,46.66372299194336
2016-04-04,46.136199951171875
2016-04-05,45.85150146484375
2016-04-06,46.07759475708008
2016-04-07,45.63379669189453
2016-04-08,45.80963897705078
2016-04-11,45.82640075683594
2016-04-12,46.094329833984375
2016-04-13,46.78092956542969
2016-04-14,46.864662170410156
2016-04-15,46.931644439697266
2016-04-18,46.973506927490234
2016-04-19,47.30843734741211
2016-04-20,47.23307800292969
2016-04-21,47.115867614746094
2016-04-22,47.23307800292969
2016-04-25,47.00700378417969
2016-04-26,47.42566680908203
2016-04-27,47.760589599609375
2016-04-28,47.30007553100586
2016-04-29,47.02374267578125
2016-05-02,47.26658248901367
2016-05-03,46.88140869140625
2016-05-04,46.30365753173828
2016-05-05,46.27854537963867
2016-05-06,46.58834457397461
2016-05-09,46.379024505615234
2016-05-10,47.17447280883789
2016-05-11,46.78092956542969
2016-05-12,46.68043899536133
2016-05-13,46.094329833984375
2016-05-16,46.66372299194336
2016-05-17,46.43762969970703
2016-05-18,46.27854537963867
2016-05-19,45.843143463134766
2016-05-20,46.07759475708008
2016-05-23,45.99385070800781
2016-05-24,46.47112274169922
2016-05-25,46.78929901123047
2016-05-26,46.65534210205078
2016-05-27,46.8311653137207
2016-05-31,46.82280349731445
2016-06-01,46.864662170410156
2016-06-02,46.92326736450195
2016-06-03,46.88140869140625
2016-06-06,47.325191497802734
2016-06-07,47.5512580871582
2016-06-08,47.85268783569336
2016-06-09,47.844322204589844
2016-06-10,47.283329010009766
2016-06-13,46.772560119628906
2016-06-14,46.78092956542969
2016-06-15,46.79767608642578
2016-06-16,46.88140869140625
2016-06-17,46.920997619628906
2016-06-20,47.35036087036133
2016-06-21,47.316688537597656
2016-06-22,47.181968688964844
2016-06-23,47.7292366027832
2016-06-24,45.78437423706055
2016-06-27,44.70669937133789
2016-06-28,45.46443557739258
2016-06-29,46.272674560546875
2016-06-30,47.15671920776367
2016-07-01,47.30826187133789
2016-07-05,46.87888717651367
2016-07-06,47.114620208740234
2016-07-07,47.240909576416016
2016-07-08,48.18387985229492
2016-07-11,48.48698043823242
2016-07-12,48.93320083618164
2016-07-13,49.05106735229492
2016-07-14,49.421531677246094
2016-07-15,49.41311264038086
2016-07-18,49.37101745605469
2016-07-19,49.3962516784668
2016-07-20,49.4888801574707
2016-07-21,48.98371505737305
2016-07-22,49.07632827758789
2016-07-25,48.81533432006836
2016-07-26,49.219459533691406
2016-07-27,49.02581024169922
2016-07-28,49.00897216796875
2016-07-29,48.86585235595703
2016-08-01,48.806922912597656
2016-08-02,48.35226821899414
2016-08-03,48.588008880615234
2016-08-04,48.604854583740234
2016-08-05,49.093177795410156
2016-08-08,49.16053009033203
2016-08-09,49.14368438720703
2016-08-10,49.11842727661133
2016-08-11,49.43836975097656
2016-08-12,49.30366134643555
2016-08-15,49.632015228271484
2016-08-16,49.41311264038086
2016-08-17,49.556236267089844
2016-08-18,49.707786560058594
2016-08-19,49.690940856933594
2016-08-22,49.64885330200195
2016-08-23,49.690940856933594
2016-08-24,49.53939437866211
2016-08-25,49.530982971191406
2016-08-26,49.38785171508789
2016-08-29,49.74146270751953
2016-08-30,49.606746673583984
2016-08-31,49.328914642333984
2016-09-01,49.37101745605469
2016-09-02,49.61516571044922
2016-09-06,49.47203826904297
2016-09-07,49.530982971191406
2016-09-08,49.4888801574707
2016-09-09,48.091270446777344
2016-09-12,48.70587158203125
2016-09-13,47.990238189697266
2016-09-14,47.94814682006836
2016-09-15,48.32701110839844
2016-09-16,47.922367095947266
2016-09-19,48.13401412963867
2016-09-20,48.17633056640625
2016-09-21,48.80276870727539
2016-09-22,49.149837493896484
2016-09-23,48.862022399902344
2016-09-26,48.650390625
2016-09-27,48.98900604248047
2016-09-28,49.36993408203125
2016-09-29,48.98053741455078
2016-09-30,49.420738220214844
2016-10-03,49.46306228637695
2016-10-04,49.048274993896484
2016-10-05,49.36148452758789
2016-10-06,49.36148452758789
2016-10-07,48.72657012939453
2016-10-10,48.777366638183594
2016-10-11,48.26943588256836
2016-10-12,48.36256790161133
2016-10-13,48.34563446044922
2016-10-14,48.44721603393555
2016-10-17,48.320247650146484
2016-10-18,48.42182922363281
2016-10-19,48.57420349121094
2016-10-20,48.311771392822266
2016-10-21,48.24405288696289
2016-10-24,48.3371696472168
2016-10-25,48.21018981933594
2016-10-26,48.379486083984375
2016-10-27,48.04934310913086
2016-10-28,48.3371696472168
2016-10-31,48.43027877807617
2016-11-01,48.01548385620117
2016-11-02,47.83769989013672
2016-11-03,47.76151657104492
2016-11-04,47.80384826660156
2016-11-07,48.98053741455078
2016-11-08,49.27680969238281
2016-11-09,50.51276397705078
2016-11-10,51.587860107421875
2016-11-11,51.68098068237305
2016-11-14,51.901092529296875
2016-11-15,52.09579086303711
2016-11-16,51.79949951171875
2016-11-17,51.90956115722656
2016-11-18,51.892608642578125
2016-11-21,52.17197036743164
2016-11-22,52.409000396728516
2016-11-23,52.79841613769531
2016-11-25,53.08623123168945
2016-11-28,52.72221755981445
2016-11-29,52.76455307006836
2016-11-30,52.832275390625
2016-12-01,53.17934799194336
