Date,HYG
2015-01-02,48.57123565673828
2015-01-05,48.12127685546875
2015-01-06,47.93696975708008
2015-01-07,48.23512268066406
2015-01-08,48.59833908081055
2015-01-09,48.842262268066406
2015-01-12,48.78265380859375
2015-01-13,48.78265380859375
2015-01-14,48.66879653930664
2015-01-15,48.37067413330078
2015-01-16,48.55497360229492
2015-01-20,48.46821975708008
2015-01-21,48.72844696044922
2015-01-22,48.79350280761719
2015-01-23,48.79350280761719
2015-01-26,49.01573944091797
2015-01-27,48.97776412963867
2015-01-28,48.874755859375
2015-01-29,49.04827117919922
2015-01-30,48.9127082824707
2015-02-02,49.10054016113281
2015-02-03,49.37808609008789
2015-02-04,49.1712646484375
2015-02-05,49.45973205566406
2015-02-06,49.49787902832031
2015-02-09,49.37808609008789
2015-02-10,49.54683303833008
2015-02-11,49.53050994873047
2015-02-12,49.52505111694336
2015-02-13,49.59585189819336
2015-02-17,49.563148498535156
2015-02-18,49.73192596435547
2015-02-19,49.61757278442383
2015-02-20,49.75364303588867
2015-02-23,49.79175567626953
2015-02-24,49.840755462646484
2015-02-25,50.0040283203125
2015-02-26,49.993167877197266
2015-02-27,50.0040283203125
2015-03-02,49.99476623535156
2015-03-03,49.85264205932617
2015-03-04,49.75971221923828
2015-03-05,49.85264205932617
2015-03-06,49.535579681396484
2015-03-09,49.431739807128906
2015-03-10,49.240421295166016
2015-03-11,49.37705612182617
2015-03-12,49.47545623779297
2015-03-13,49.30600357055664
2015-03-16,49.256797790527344
2015-03-17,49.01080322265625
2015-03-18,49.448116302490234
2015-03-19,49.05452346801758
2015-03-20,49.43718719482422
2015-03-23,49.47545623779297
2015-03-24,49.5519905090332
2015-03-25,49.420814514160156
2015-03-26,49.415306091308594
2015-03-27,49.45358657836914
2015-03-30,49.59025192260742
2015-03-31,49.53010559082031
2015-04-01,49.63225173950195
2015-04-02,49.67066955566406
2015-04-06,49.796974182128906
2015-04-07,50.06052780151367
2015-04-08,50.0495491027832
2015-04-09,50.00014114379883
2015-04-10,50.115447998046875
2015-04-13,50.02210235595703
2015-04-14,50.04405212402344
2015-04-15,50.24174118041992
2015-04-16,50.13739013671875
2015-04-17,49.9836540222168
2015-04-20,50.09349060058594
2015-04-21,50.126426696777344
2015-04-22,50.07699203491211
2015-04-23,50.06052780151367
2015-04-24,50.1429328918457
2015-04-27,50.159385681152344
2015-04-28,50.08250427246094
2015-04-29,49.98914337158203
2015-04-30,49.96169662475586
2015-05-01,50.07310104370117
2015-05-04,50.06205749511719
2015-05-05,49.99586486816406
2015-05-06,49.846988677978516
2015-05-07,49.84149169921875
2015-05-08,50.233062744140625
2015-05-11,49.91866683959961
2015-05-12,49.91316223144531
2015-05-13,49.84149169921875
2015-05-14,50.0841178894043
2015-05-15,50.19443130493164
2015-05-18,50.11171340942383
2015-05-19,50.03449249267578
2015-05-20,49.97383117675781
2015-05-21,50.045562744140625
2015-05-22,50.0841178894043
2015-05-26,49.97935104370117
2015-05-27,50.08967208862305
2015-05-28,50.06758499145508
2015-05-29,50.139320373535156
2015-06-01,50.22349548339844
2015-06-02,50.12932586669922
2015-06-03,49.857879638671875
2015-06-04,49.697208404541016
2015-06-05,49.54764175415039
2015-06-08,49.54764175415039
2015-06-09,49.46455383300781
2015-06-10,49.531002044677734
2015-06-11,49.630741119384766
2015-06-12,49.44792556762695
2015-06-15,49.21525573730469
2015-06-16,49.49224853515625
2015-06-17,49.44792556762695
2015-06-18,49.630741119384766
2015-06-19,49.658424377441406
2015-06-22,49.75812530517578
2015-06-23,49.72490692138672
2015-06-24,49.59195327758789
2015-06-25,49.4423828125
2015-06-26,49.298316955566406
2015-06-29,48.96041488647461
2015-06-30,49.19310760498047
2015-07-01,49.20140838623047
2015-07-02,49.38504409790039
2015-07-06,49.223716735839844
2015-07-07,49.262664794921875
2015-07-08,49.017799377441406
2015-07-09,49.129112243652344
2015-07-10,49.41290283203125
2015-07-13,49.45741271972656
2015-07-14,49.4073371887207
2015-07-15,49.4073371887207
2015-07-16,49.48522186279297
2015-07-17,49.3516845703125
2015-07-20,49.12352752685547
2015-07-21,49.03450393676758
2015-07-22,48.717315673828125
2015-07-23,48.689491271972656
2015-07-24,48.55037307739258
2015-07-27,48.34452438354492
2015-07-28,48.60602951049805
2015-07-29,48.889808654785156
2015-07-30,49.03450393676758
2015-07-31,48.95103454589844
2015-08-03,48.85935974121094
2015-08-04,48.8873291015625
2015-08-05,48.82021713256836
2015-08-06,48.619014739990234
2015-08-07,48.46807098388672
2015-08-10,48.607826232910156
2015-08-11,48.38425827026367
2015-08-12,48.31717300415039
2015-08-13,48.25568389892578
2015-08-14,48.28361892700195
2015-08-17,48.28361892700195
2015-08-18,48.22214126586914
2015-08-19,48.177459716796875
2015-08-20,47.94264602661133
2015-08-21,47.76936340332031
2015-08-24,47.37810516357422
2015-08-25,47.47314453125
2015-08-26,47.8699836730957
2015-08-27,48.22771072387695
2015-08-28,48.272464752197266
2015-08-31,48.20539474487305
2015-09-01,48.049835205078125
2015-09-02,48.246368408203125
2015-09-03,48.31374740600586
2015-09-04,48.263179779052734
2015-09-08,48.52706527709961
2015-09-09,48.46533203125
2015-09-10,48.5832405090332
2015-09-11,48.56637954711914
2015-09-14,48.4821662902832
2015-09-15,48.47093963623047
2015-09-16,48.2968864440918
2015-09-17,48.33620071411133
2015-09-18,48.20144271850586
2015-09-21,48.111595153808594
2015-09-22,47.763492584228516
2015-09-23,47.67926788330078
2015-09-24,47.44349670410156
2015-09-25,47.202056884765625
2015-09-28,46.47776794433594
2015-09-29,46.472164154052734
2015-09-30,46.764102935791016
2015-10-01,46.46396255493164
2015-10-02,46.509117126464844
2015-10-05,47.06761932373047
2015-10-06,47.327125549316406
2015-10-07,47.81232833862305
2015-10-08,48.0097541809082
2015-10-09,48.0153923034668
2015-10-12,47.92511749267578
2015-10-13,47.81232833862305
2015-10-14,47.77846908569336
2015-10-15,47.89128112792969
2015-10-16,48.111324310302734
2015-10-19,48.241050720214844
2015-10-20,48.286197662353516
2015-10-21,48.23542404174805
2015-10-22,48.25234603881836
2015-10-23,48.42159652709961
2015-10-26,48.37080764770508
2015-10-27,48.212825775146484
2015-10-28,48.34259796142578
2015-10-29,48.2184944152832
2015-10-30,48.274898529052734
2015-11-02,48.42454528808594
2015-11-03,48.4755744934082
2015-11-04,48.333866119384766
2015-11-05,48.1468391418457
2015-11-06,47.914459228515625
2015-11-09,47.71607208251953
2015-11-10,47.60841751098633
2015-11-11,47.49507522583008
2015-11-12,47.17767333984375
2015-11-13,47.0416259765625
2015-11-16,47.262664794921875
2015-11-17,47.29667282104492
2015-11-18,47.38737869262695
2015-11-19,46.96225357055664
2015-11-20,46.95094680786133
2015-11-23,46.91127395629883
2015-11-24,46.97357940673828
2015-11-25,47.02461624145508
2015-11-27,47.098297119140625
2015-11-30,47.0699577331543
2015-12-01,47.404823303222656
2015-12-02,47.30803680419922
2015-12-03,47.182735443115234
2015-12-04,47.07452392578125
2015-12-07,46.744224548339844
2015-12-08,46.163330078125
2015-12-09,46.40251922607422
2015-12-10,46.208892822265625
2015-12-11,45.28631591796875
2015-12-14,44.893348693847656
2015-12-15,45.62799835205078
2015-12-16,45.97539520263672
2015-12-17,45.46285629272461
2015-12-18,45.2920036315918
2015-12-21,45.14963150024414
2015-12-22,45.696327209472656
2015-12-23,45.986793518066406
2015-12-24,46.0806770324707
2015-12-28,45.805885314941406
2015-12-29,46.06922149658203
2015-12-30,46.10358428955078
2015-12-31,46.132225036621094
2016-01-04,45.857398986816406
2016-01-05,45.94329833984375
2016-01-06,45.94329833984375
2016-01-07,45.645565032958984
2016-01-08,45.52535629272461
2016-01-11,45.4566650390625
2016-01-12,45.50244140625
2016-01-13,44.99862289428711
2016-01-14,45.19905090332031
2016-01-15,44.603614807128906
2016-01-19,44.44904708862305
2016-01-20,44.1513557434082
2016-01-21,44.44904708862305
2016-01-22,45.13031768798828
2016-01-25,44.683780670166016
2016-01-26,45.08452224731445
2016-01-27,45.01582717895508
2016-01-28,45.24479675292969
2016-01-29,45.39368438720703
2016-02-01,45.123844146728516
2016-02-02,44.8016471862793
2016-02-03,45.02027893066406
2016-02-04,44.87643051147461
2016-02-05,44.53125
2016-02-08,44.013427734375
2016-02-09,43.84659194946289
2016-02-10,43.7833137512207
2016-02-11,43.489864349365234
2016-02-12,44.14002227783203
2016-02-16,44.180294036865234
2016-02-17,44.542747497558594
2016-02-18,44.5830078125
2016-02-19,44.669334411621094
2016-02-22,45.0547981262207
2016-02-23,44.962764739990234
2016-02-24,45.03752899169922
2016-02-25,45.2791748046875
2016-02-26,45.58412170410156
2016-02-29,46.073150634765625
2016-03-01,46.801300048828125
2016-03-02,46.48321533203125
2016-03-03,46.63938903808594
2016-03-04,46.77241516113281
2016-03-07,46.83024597167969
2016-03-08,46.500545501708984
2016-03-09,46.616207122802734
2016-03-10,46.94013214111328
2016-03-11,47.50692367553711
2016-03-14,47.37388610839844
2016-03-15,46.934349060058594
2016-03-16,47.24667739868164
2016-03-17,47.547420501708984
2016-03-18,47.657283782958984
2016-03-21,47.60523986816406
2016-03-22,47.47800827026367
2016-03-23,47.25823974609375
2016-03-24,47.05000305175781
2016-03-28,46.83600997924805
2016-03-29,47.01530456542969
2016-03-30,47.18301010131836
2016-03-31,47.24667739868164
2016-04-01,47.28093719482422
2016-04-04,47.16472244262695
2016-04-05,46.99039840698242
2016-04-06,47.38553237915039
2016-04-07,47.153114318847656
2016-04-08,47.36808395385742
2016-04-11,47.43198776245117
2016-04-12,47.710914611816406
2016-04-13,48.024715423583984
2016-04-14,48.00726318359375
2016-04-15,47.931724548339844
2016-04-18,48.204837799072266
2016-04-19,48.4082145690918
2016-04-20,48.50117874145508
2016-04-21,48.350074768066406
2016-04-22,48.46047592163086
2016-04-25,48.274539947509766
2016-04-26,48.43724822998047
2016-04-27,48.72198486328125
2016-04-28,48.6406135559082
2016-04-29,48.72198486328125
2016-05-02,48.74065017700195
2016-05-03,48.425445556640625
2016-05-04,48.2445068359375
2016-05-05,48.20362854003906
2016-05-06,48.17443084716797
2016-05-09,48.08686065673828
2016-05-10,48.49546813964844
2016-05-11,48.46048355102539
2016-05-12,48.53633499145508
2016-05-13,48.320369720458984
2016-05-16,48.58885192871094
2016-05-17,48.48966598510742
2016-05-18,48.49546813964844
2016-05-19,48.36122131347656
2016-05-20,48.530513763427734
2016-05-23,48.54219055175781
2016-05-24,48.83406066894531
2016-05-25,48.9099235534668
2016-05-26,48.76985549926758
2016-05-27,48.85155487060547
2016-05-31,48.80485916137695
2016-06-01,48.88227081298828
2016-06-02,48.89401626586914
2016-06-03,48.98198699951172
2016-06-06,49.19902420043945
2016-06-07,49.416038513183594
2016-06-08,49.60373306274414
2016-06-09,49.410152435302734
2016-06-10,49.169673919677734
2016-06-13,48.841217041015625
2016-06-14,48.676979064941406
2016-06-15,48.70045852661133
2016-06-16,48.729774475097656
2016-06-17,48.759117126464844
2016-06-20,49.046531677246094
2016-06-21,49.23421096801758
2016-06-22,49.2811393737793
2016-06-23,49.6447868347168
2016-06-24,48.82949447631836
2016-06-27,48.12564468383789
2016-06-28,48.729774475097656
2016-06-29,49.345664978027344
2016-06-30,49.67995071411133
2016-07-01,49.77840042114258
2016-07-05,49.49551010131836
2016-07-06,49.713565826416016
2016-07-07,49.77840042114258
2016-07-08,50.43837356567383
2016-07-11,50.4678840637207
2016-07-12,50.60930252075195
2016-07-13,50.46198272705078
2016-07-14,50.562164306640625
2016-07-15,50.46198272705078
2016-07-18,50.632877349853516
2016-07-19,50.497337341308594
2016-07-20,50.626976013183594
2016-07-21,50.556270599365234
2016-07-22,50.78019714355469
2016-07-25,50.538570404052734
2016-07-26,50.34409713745117
2016-07-27,50.497337341308594
2016-07-28,50.28519821166992
2016-07-29,50.332332611083984
2016-08-01,50.04996109008789
2016-08-02,49.97892379760742
2016-08-03,50.20387649536133
2016-08-04,50.523536682128906
2016-08-05,50.63596725463867
2016-08-08,50.84318923950195
2016-08-09,51.02077865600586
2016-08-10,50.92607498168945
2016-08-11,51.05039978027344
2016-08-12,51.09181594848633
2016-08-15,51.24571990966797
2016-08-16,51.139156341552734
2016-08-17,51.210201263427734
2016-08-18,51.41146469116211
2016-08-19,51.257545471191406
2016-08-22,51.17466735839844
2016-08-23,51.34632873535156
2016-08-24,51.204307556152344
2016-08-25,51.29901885986328
2016-08-26,51.23980712890625
2016-08-29,51.49435043334961
2016-08-30,51.52394485473633
2016-08-31,51.32267379760742
2016-09-01,51.4243278503418
2016-09-02,51.662132263183594
2016-09-06,51.72159194946289
2016-09-07,51.57891845703125
2016-09-08,51.48377990722656
2016-09-09,50.99034881591797
2016-09-12,51.168697357177734
2016-09-13,50.77634048461914
2016-09-14,50.76445388793945
2016-09-15,51.06167221069336
2016-09-16,51.07356643676758
2016-09-19,51.10331344604492
2016-09-20,51.04383087158203
2016-09-21,51.4659538269043
2016-09-22,51.63835525512695
2016-09-23,51.57891845703125
2016-09-26,51.35298538208008
2016-09-27,51.50163269042969
2016-09-28,51.84641647338867
2016-09-29,51.650238037109375
2016-09-30,51.87619400024414
2016-10-03,51.8438835144043
2016-10-04,51.75435256958008
2016-10-05,51.891693115234375
2016-10-06,51.92155075073242
2016-10-07,52.04098129272461
2016-10-10,52.19024658203125
2016-10-11,51.89765930175781
2016-10-12,51.87974166870117
2016-10-13,51.748374938964844
2016-10-14,51.867774963378906
2016-10-17,51.79610824584961
2016-10-18,52.00514602661133
2016-10-19,52.154415130615234
2016-10-20,52.16039276123047
2016-10-21,52.17235565185547
2016-10-24,52.202178955078125
2016-10-25,52.17235565185547
2016-10-26,51.96331787109375
2016-10-27,51.772254943847656
2016-10-28,51.521446228027344
2016-10-31,51.36616134643555
2016-11-01,51.16584777832031
2016-11-02,50.937923431396484
2016-11-03,50.949928283691406
2016-11-04,50.97388458251953
2016-11-07,51.68770980834961
2016-11-08,51.57374954223633
2016-11-09,51.213829040527344
2016-11-10,50.54201889038086
2016-11-11,50.06815719604492
2016-11-14,50.44003677368164
2016-11-15,51.10586929321289
2016-11-16,50.90192413330078
2016-11-17,50.763973236083984
2016-11-18,50.763973236083984
2016-11-21,51.171844482421875
2016-11-22,51.549739837646484
2016-11-23,51.35780334472656
2016-11-25,51.42378616333008
2016-11-28,51.41776657104492
2016-11-29,51.351829528808594
2016-11-30,51.37582015991211
2016-12-01,51.13541030883789
2016-12-02,51.44267272949219
2016-12-05,51.57524108886719
2016-12-06,51.83431625366211
2016-12-07,52.09343338012695
