Date,QQQ
2015-01-02,94.5611343383789
2015-01-05,93.17405700683594
2015-01-06,91.92474365234375
2015-01-07,93.1097412109375
2015-01-08,94.891845703125
2015-01-09,94.26719665527344
2015-01-12,93.28427124023438
2015-01-13,93.25672149658203
2015-01-14,92.74230194091797
2015-01-15,91.53894805908203
2015-01-16,92.61370849609375
2015-01-20,93.34857940673828
2015-01-21,93.82624816894531
2015-01-22,95.56242370605469
2015-01-23,95.77375030517578
2015-01-26,95.66346740722656
2015-01-27,93.1832275390625
2015-01-28,92.70557403564453
2015-01-29,93.59664154052734
2015-01-30,92.87088012695312
2015-02-02,93.67929077148438
2015-02-03,94.57952117919922
2015-02-04,94.49683380126953
2015-02-05,95.31441497802734
2015-02-06,94.73567962646484
2015-02-09,94.43253326416016
2015-02-10,95.90234375
2015-02-11,96.25139617919922
2015-02-12,97.37207794189453
2015-02-13,98.20802307128906
2015-02-17,98.29991149902344
2015-02-18,98.43767547607422
2015-02-19,98.92450714111328
2015-02-20,99.58592224121094
2015-02-23,99.68695068359375
2015-02-24,99.76045227050781
2015-02-25,99.51243591308594
2015-02-26,100.01766204833984
2015-02-27,99.57672119140625
2015-03-02,100.4769287109375
2015-03-03,100.00846862792969
2015-03-04,99.6226577758789
2015-03-05,99.79718017578125
2015-03-06,98.66731262207031
2015-03-09,98.95207977294922
2015-03-10,97.11489868164062
2015-03-11,96.55451202392578
2015-03-12,97.18836975097656
2015-03-13,96.76579284667969
2015-03-16,98.01508331298828
2015-03-17,98.1712875366211
2015-03-18,99.13578796386719
2015-03-19,99.28276824951172
2015-03-20,99.92545318603516
2015-03-23,99.73207092285156
2015-03-24,99.37300872802734
2015-03-25,97.09881591796875
2015-03-26,96.76738739013672
2015-03-27,97.15408325195312
2015-03-30,98.26815795898438
2015-03-31,97.22770690917969
2015-04-01,96.7213134765625
2015-04-02,96.78577423095703
2015-04-06,97.57758331298828
2015-04-07,97.4118881225586
2015-04-08,98.1852798461914
2015-04-09,98.8021469116211
2015-04-10,99.20726776123047
2015-04-13,98.95868682861328
2015-04-14,98.67327117919922
2015-04-15,99.29015350341797
2015-04-16,99.15203094482422
2015-04-17,97.60521697998047
2015-04-20,99.06918334960938
2015-04-21,99.4926986694336
2015-04-22,100.03591918945312
2015-04-23,100.4134292602539
2015-04-24,101.77609252929688
2015-04-27,101.518310546875
2015-04-28,101.31572723388672
2015-04-29,100.68041229248047
2015-04-30,99.09678649902344
2015-05-01,100.40419006347656
2015-05-04,100.56993865966797
2015-05-05,98.93108367919922
2015-05-06,98.24974822998047
2015-05-07,98.8389663696289
2015-05-08,100.0727767944336
2015-05-11,99.68603515625
2015-05-12,99.23490905761719
2015-05-13,99.43745422363281
2015-05-14,100.89220428466797
2015-05-15,100.89220428466797
2015-05-18,101.33413696289062
2015-05-19,101.2236328125
2015-05-20,101.2880859375
2015-05-21,101.81289672851562
2015-05-22,101.71163177490234
2015-05-26,100.54232025146484
2015-05-27,102.16276550292969
2015-05-28,101.93260192871094
2015-05-29,101.32491302490234
2015-06-01,101.66558074951172
2015-06-02,101.34333038330078
2015-06-03,101.64716339111328
2015-06-04,100.87376403808594
2015-06-05,100.63438415527344
2015-06-08,99.61238098144531
2015-06-09,99.44667053222656
2015-06-10,100.809326171875
2015-06-11,100.95662689208984
2015-06-12,100.12798309326172
2015-06-15,99.63079833984375
2015-06-16,100.17401123046875
2015-06-17,100.45022583007812
2015-06-18,101.91416931152344
2015-06-19,101.41030883789062
2015-06-22,102.15779113769531
2015-06-23,102.2408676147461
