Date,TLT
2015-01-02,92.65924072265625
2015-01-05,94.11480712890625
2015-01-06,95.81045532226562
2015-01-07,95.6212387084961
2015-01-08,94.35497283935547
2015-01-09,95.38839721679688
2015-01-12,95.9342269897461
2015-01-13,95.9342269897461
2015-01-14,96.66197967529297
2015-01-15,98.18301391601562
2015-01-16,96.93130493164062
2015-01-20,98.21937561035156
2015-01-21,97.08409881591797
2015-01-22,96.73478698730469
2015-01-23,98.08116149902344
2015-01-26,97.78276824951172
2015-01-27,97.93561553955078
2015-01-28,99.53665924072266
2015-01-29,98.8816909790039
2015-01-30,100.63558197021484
2015-02-02,100.25566101074219
2015-02-03,98.13361358642578
2015-02-04,98.30130767822266
2015-02-05,97.22203063964844
2015-02-06,95.50102996826172
2015-02-09,95.34791564941406
2015-02-10,94.5894775390625
2015-02-11,94.76455688476562
2015-02-12,94.45092010498047
2015-02-13,93.4810562133789
2015-02-17,92.07360076904297
2015-02-18,92.62057495117188
2015-02-19,92.00800323486328
2015-02-20,92.27782440185547
2015-02-23,93.33518981933594
2015-02-24,94.5603256225586
2015-02-25,94.96875
2015-02-26,93.67063903808594
2015-02-27,94.45819091796875
2015-03-02,92.69879150390625
2015-03-03,92.36270141601562
2015-03-04,92.39191436767578
2015-03-05,92.27503967285156
2015-03-06,90.23648834228516
2015-03-09,91.06941223144531
2015-03-10,92.26770782470703
2015-03-11,92.93986511230469
2015-03-12,92.87416076660156
2015-03-13,92.5892333984375
2015-03-16,93.48058319091797
2015-03-17,94.25511932373047
2015-03-18,96.07443237304688
2015-03-19,95.58487701416016
2015-03-20,96.08902740478516
2015-03-23,95.97213745117188
2015-03-24,96.90008544921875
2015-03-25,96.08175659179688
2015-03-26,94.58387756347656
2015-03-27,95.76026916503906
2015-03-30,95.28539276123047
2015-03-31,95.48993682861328
2015-04-01,96.7441635131836
2015-04-02,95.71910095214844
2015-04-06,95.18460845947266
2015-04-07,95.9826889038086
2015-04-08,96.01199340820312
2015-04-09,94.7672119140625
2015-04-10,94.90634155273438
2015-04-13,95.03813934326172
2015-04-14,95.71178436279297
2015-04-15,95.6312484741211
2015-04-16,95.15532684326172
2015-04-17,96.24628448486328
2015-04-20,95.39690399169922
2015-04-21,94.9649658203125
2015-04-22,93.51521301269531
2015-04-23,93.91791534423828
2015-04-24,94.5036849975586
2015-04-27,94.5036849975586
2015-04-28,93.20035552978516
2015-04-29,92.05812072753906
2015-04-30,92.21926879882812
2015-05-01,90.97781372070312
2015-05-04,90.11939239501953
2015-05-05,89.99469757080078
2015-05-06,88.45394897460938
2015-05-07,89.64248657226562
2015-05-08,89.88462829589844
