Date,IWM
2015-01-02,102.54312133789062
2015-01-05,101.17220306396484
2015-01-06,99.42192077636719
2015-01-07,100.6462631225586
2015-01-08,102.35344696044922
2015-01-09,101.37052154541016
2015-01-12,101.03423309326172
2015-01-13,101.11186218261719
2015-01-14,100.70660400390625
2015-01-15,99.0080337524414
2015-01-16,100.62039947509766
2015-01-20,100.19790649414062
2015-01-21,99.87886047363281
2015-01-22,101.91370391845703
2015-01-23,101.84474182128906
2015-01-26,102.82766723632812
2015-01-27,102.33617401123047
2015-01-28,100.61176300048828
2015-01-29,101.99993896484375
2015-01-30,99.75817108154297
2015-02-02,100.67213439941406
2015-02-03,102.4741439819336
2015-02-04,102.09477233886719
2015-02-05,103.41395568847656
2015-02-06,103.3018798828125
2015-02-09,102.48277282714844
2015-02-10,103.13806915283203
2015-02-11,102.99150085449219
2015-02-12,104.16409301757812
2015-02-13,104.7848892211914
2015-02-17,105.11253356933594
2015-02-18,105.22459411621094
2015-02-19,105.23322296142578
2015-02-20,105.51776123046875
2015-02-23,105.62122344970703
2015-02-24,105.75920104980469
2015-02-25,105.87989807128906
2015-02-26,106.26789855957031
2015-02-27,105.69020080566406
2015-03-02,106.45759582519531
2015-03-03,105.82815551757812
2015-03-04,105.50048828125
2015-03-05,105.8109130859375
2015-03-06,104.4744644165039
2015-03-09,104.93146514892578
2015-03-10,103.72437286376953
2015-03-11,104.36239624023438
2015-03-12,106.09547424316406
2015-03-13,105.71607208251953
2015-03-16,106.33686828613281
2015-03-17,106.62139892578125
2015-03-18,107.4749984741211
2015-03-19,107.68191528320312
2015-03-20,108.63036346435547
2015-03-23,108.53551483154297
2015-03-24,108.5096435546875
2015-03-25,105.91773223876953
2015-03-26,105.78799438476562
2015-03-27,106.4625473022461
2015-03-30,107.90685272216797
2015-03-31,107.56090545654297
2015-04-01,107.60413360595703
2015-04-02,107.80307006835938
2015-04-06,108.27872467041016
2015-04-07,107.58686065673828
2015-04-08,108.51223754882812
2015-04-09,108.1230697631836
2015-04-10,108.64196014404297
2015-04-13,108.71115112304688
2015-04-14,108.6852035522461
2015-04-15,109.4462890625
2015-04-16,109.3857192993164
2015-04-17,107.61277770996094
2015-04-20,108.66793823242188
2015-04-21,108.55547332763672
2015-04-22,108.71980285644531
2015-04-23,109.2127685546875
2015-04-24,108.84955596923828
2015-04-27,107.64740753173828
2015-04-28,108.244140625
2015-04-29,107.06793975830078
2015-04-30,104.80205535888672
2015-05-01,105.48528289794922
2015-05-04,105.86580657958984
2015-05-05,104.51667022705078
2015-05-06,104.87987518310547
2015-05-07,105.2777099609375
