Date,XLK
2015-01-02,18.0627384185791
2015-01-05,17.78699493408203
2015-01-06,17.57254409790039
2015-01-07,17.72134780883789
2015-01-08,18.11087989807129
2015-01-09,18.053991317749023
2015-01-12,17.843900680541992
2015-01-13,17.83077621459961
2015-01-14,17.730106353759766
2015-01-15,17.50251579284668
2015-01-16,17.67321014404297
2015-01-20,17.822019577026367
2015-01-21,17.852659225463867
2015-01-22,18.145902633666992
2015-01-23,18.14151382446289
2015-01-26,18.06711196899414
2015-01-27,17.54628562927246
2015-01-28,17.515644073486328
2015-01-29,17.681957244873047
2015-01-30,17.4631290435791
2015-02-02,17.6425724029541
2015-02-03,17.843900680541992
2015-02-04,17.878917694091797
2015-02-05,18.045228958129883
2015-02-06,17.98833656311035
2015-02-09,17.962072372436523
2015-02-10,18.229053497314453
2015-02-11,18.29907989501953
2015-02-12,18.548551559448242
2015-02-13,18.66672706604004
2015-02-17,18.67548370361328
2015-02-18,18.69298553466797
2015-02-19,18.758638381958008
2015-02-20,18.85492706298828
2015-02-23,18.86804962158203
2015-02-24,18.92495346069336
2015-02-25,18.806781768798828
2015-02-26,18.92495346069336
2015-02-27,18.859296798706055
2015-03-02,19.008108139038086
2015-03-03,18.881187438964844
2015-03-04,18.806781768798828
2015-03-05,18.78489112854004
2015-03-06,18.55293083190918
2015-03-09,18.64046287536621
2015-03-10,18.259689331054688
2015-03-11,18.14151382446289
2015-03-12,18.259689331054688
2015-03-13,18.159029006958008
2015-03-16,18.373489379882812
2015-03-17,18.377866744995117
2015-03-18,18.62734031677246
2015-03-19,18.574810028076172
2015-03-20,18.694791793823242
2015-03-23,18.694791793823242
2015-03-24,18.63326644897461
2015-03-25,18.154245376586914
2015-03-26,18.16743278503418
2015-03-27,18.18061065673828
2015-03-30,18.400344848632812
2015-03-31,18.21137809753418
2015-04-01,18.185007095336914
2015-04-02,18.18061065673828
2015-04-06,18.35640525817871
2015-04-07,18.31684684753418
2015-04-08,18.373977661132812
2015-04-09,18.42232322692871
2015-04-10,18.492631912231445
2015-04-13,18.439899444580078
2015-04-14,18.382768630981445
2015-04-15,18.54537010192871
2015-04-16,18.479450225830078
2015-04-17,18.22455596923828
2015-04-20,18.536584854125977
2015-04-21,18.527788162231445
2015-04-22,18.716760635375977
2015-04-23,18.791465759277344
2015-04-24,18.95407485961914
2015-04-27,19.006805419921875
2015-04-28,19.06833267211914
2015-04-29,18.976045608520508
2015-04-30,18.712366104125977
2015-05-01,18.94088363647461
2015-05-04,18.958467483520508
2015-05-05,18.664024353027344
2015-05-06,18.505823135375977
2015-05-07,18.642053604125977
2015-05-08,18.91012954711914
2015-05-11,18.813447952270508
2015-05-12,18.712366104125977
2015-05-13,18.791465759277344
2015-05-14,19.09469985961914
2015-05-15,19.033174514770508
2015-05-18,19.12545394897461
2015-05-19,19.077117919921875
2015-05-20,19.09030532836914
2015-05-21,19.173805236816406
2015-05-22,19.160615921020508
2015-05-26,18.883766174316406
2015-05-27,19.23971939086914
2015-05-28,19.200170516967773
2015-05-29,19.059547424316406
2015-06-01,19.11227798461914
2015-06-02,19.07272720336914
2015-06-03,19.11227798461914
2015-06-04,18.936487197875977
2015-06-05,18.874975204467773
2015-06-08,18.664024353027344
2015-06-09,18.620080947875977
2015-06-10,18.91012954711914
2015-06-11,18.918914794921875
2015-06-12,18.751922607421875
2015-06-15,18.63765525817871
2015-06-16,18.760717391967773
2015-06-17,18.769493103027344
2015-06-18,18.936487197875977
2015-06-19,18.77889060974121
2015-06-22,18.93340301513672
2015-06-23,18.946643829345703
2015-06-24,18.858356475830078
2015-06-25,18.814210891723633
2015-06-26,18.65529441833496
2015-06-29,18.257997512817383
2015-06-30,18.27565574645996
2015-07-01,18.399261474609375
2015-07-02,18.42574119567871
2015-07-06,18.3507022857666
2015-07-07,18.37718963623047
2015-07-08,18.077001571655273
2015-07-09,18.00638198852539
2015-07-10,18.293315887451172
2015-07-13,18.57141876220703
2015-07-14,18.642053604125977
2015-07-15,18.64646339416504
2015-07-16,18.88484764099121
2015-07-17,19.176193237304688
2015-07-20,19.277721405029297
2015-07-21,19.149709701538086
2015-07-22,18.8406982421875
2015-07-23,18.80097198486328
2015-07-24,18.69944190979004
2015-07-27,18.53169059753418
2015-07-28,18.69944190979004
2015-07-29,18.823043823242188
2015-07-30,18.858356475830078
2015-07-31,18.796560287475586
2015-08-03,18.695022583007812
2015-08-04,18.58466339111328
2015-08-05,18.765657424926758
2015-08-06,18.58024787902832
2015-08-07,18.593488693237305
2015-08-10,18.88484764099121
2015-08-11,18.602317810058594
2015-08-12,18.68619728088379
2015-08-13,18.633220672607422
2015-08-14,18.725923538208008
2015-08-17,18.831872940063477
2015-08-18,18.734752655029297
2015-08-19,18.611154556274414
2015-08-20,18.156469345092773
2015-08-21,17.463401794433594
2015-08-24,16.77475929260254
2015-08-25,16.642318725585938
2015-08-26,17.481061935424805
2015-08-27,17.887184143066406
2015-08-28,17.922500610351562
2015-08-31,17.759172439575195
2015-09-01,17.189708709716797
2015-09-02,17.604663848876953
2015-09-03,17.617904663085938
2015-09-04,17.3486328125
2015-09-08,17.834211349487305
2015-09-09,17.600250244140625
2015-09-10,17.776832580566406
2015-09-11,17.860702514648438
2015-09-14,17.816556930541992
2015-09-15,18.046112060546875
2015-09-16,18.121131896972656
2015-09-17,17.997543334960938
2015-09-18,17.763858795166016
2015-09-21,17.94122886657715
2015-09-22,17.639692306518555
2015-09-23,17.684043884277344
2015-09-24,17.684043884277344
2015-09-25,17.65300178527832
2015-09-28,17.249488830566406
2015-09-29,17.174089431762695
2015-09-30,17.51553726196289
2015-10-01,17.524404525756836
