Date,IWM
2015-01-02,102.54312133789062
2015-01-05,101.17221069335938
2015-01-06,99.42191314697266
2015-01-07,100.64627075195312
2015-01-08,102.35343170166016
2015-01-09,101.37049865722656
2015-01-12,101.03426361083984
2015-01-13,101.11183166503906
2015-01-14,100.70661163330078
2015-01-15,99.00804901123047
2015-01-16,100.620361328125
2015-01-20,100.19792175292969
2015-01-21,99.87889099121094
2015-01-22,101.91371154785156
2015-01-23,101.84474182128906
2015-01-26,102.82766723632812
2015-01-27,102.33618927001953
2015-01-28,100.61177062988281
2015-01-29,101.99993133544922
2015-01-30,99.7581787109375
2015-02-02,100.67211151123047
2015-02-03,102.47412872314453
2015-02-04,102.09477996826172
2015-02-05,103.4139633178711
2015-02-06,103.30186462402344
2015-02-09,102.48278045654297
2015-02-10,103.13805389404297
2015-02-11,102.99148559570312
2015-02-12,104.16407775878906
2015-02-13,104.78488159179688
2015-02-17,105.11250305175781
2015-02-18,105.22462463378906
2015-02-19,105.23323059082031
2015-02-20,105.51775360107422
2015-02-23,105.62126159667969
2015-02-24,105.75917053222656
2015-02-25,105.87989044189453
2015-02-26,106.26788330078125
2015-02-27,105.69024658203125
2015-03-02,106.45758056640625
2015-03-03,105.82817840576172
2015-03-04,105.50051879882812
2015-03-05,105.81094360351562
2015-03-06,104.4744873046875
2015-03-09,104.93146514892578
2015-03-10,103.72437286376953
2015-03-11,104.3624038696289
2015-03-12,106.09545135498047
2015-03-13,105.71609497070312
2015-03-16,106.33689880371094
2015-03-17,106.62142181396484
2015-03-18,107.4749984741211
2015-03-19,107.68193054199219
2015-03-20,108.6303482055664
2015-03-23,108.53551483154297
2015-03-24,108.50965881347656
2015-03-25,105.91768646240234
2015-03-26,105.78797912597656
2015-03-27,106.46257781982422
2015-03-30,107.90686798095703
2015-03-31,107.56090545654297
2015-04-01,107.60415649414062
2015-04-02,107.80307006835938
2015-04-06,108.27873229980469
2015-04-07,107.58684539794922
2015-04-08,108.51222229003906
2015-04-09,108.12308502197266
2015-04-10,108.64196014404297
2015-04-13,108.71116638183594
2015-04-14,108.68521118164062
2015-04-15,109.44627380371094
2015-04-16,109.38573455810547
2015-04-17,107.6128158569336
2015-04-20,108.66792297363281
2015-04-21,108.55548858642578
2015-04-22,108.71979522705078
2015-04-23,109.2127914428711
2015-04-24,108.84952545166016
2015-04-27,107.64737701416016
2015-04-28,108.24414825439453
2015-04-29,107.06793212890625
2015-04-30,104.80206298828125
2015-05-01,105.48529815673828
2015-05-04,105.8658218383789
2015-05-05,104.51663208007812
2015-05-06,104.87989807128906
2015-05-07,105.27772521972656
2015-05-08,106.06473541259766
2015-05-11,106.1252670288086
2015-05-12,105.93498992919922
2015-05-13,105.93498992919922
2015-05-14,107.05929565429688
2015-05-15,106.93822479248047
2015-05-18,108.14899444580078
2015-05-19,108.00196838378906
2015-05-20,108.20089721679688
2015-05-21,108.079833984375
2015-05-22,107.6128158569336
2015-05-26,106.5836410522461
2015-05-27,107.88957214355469
2015-05-28,107.79441833496094
2015-05-29,107.14580535888672
2015-06-01,107.48311614990234
2015-06-02,107.69062042236328
2015-06-03,108.7630386352539
2015-06-04,107.67334747314453
2015-06-05,108.45169067382812
2015-06-08,107.95008850097656
2015-06-09,107.62145233154297
2015-06-10,108.96194458007812
2015-06-11,109.23873138427734
2015-06-12,108.91006469726562
2015-06-15,108.56411743164062
2015-06-16,109.33382415771484
2015-06-17,109.16950988769531
2015-06-18,110.63113403320312
