Date,SPY
2015-01-02,169.6877899169922
2015-01-05,166.62327575683594
2015-01-06,165.0539093017578
2015-01-07,167.11068725585938
2015-01-08,170.07614135742188
2015-01-09,168.71311950683594
2015-01-12,167.3915252685547
2015-01-13,166.92066955566406
2015-01-14,165.91299438476562
2015-01-15,164.39312744140625
2015-01-16,166.54901123046875
2015-01-20,166.90423583984375
2015-01-21,167.7467498779297
2015-01-22,170.2413330078125
2015-01-23,169.30792236328125
2015-01-26,169.70436096191406
2015-01-27,167.4658966064453
2015-01-28,165.31825256347656
2015-01-29,166.84634399414062
2015-01-30,164.748291015625
2015-02-02,166.78851318359375
2015-02-03,169.20050048828125
2015-02-04,168.5561981201172
2015-02-05,170.25772094726562
2015-02-06,169.78701782226562
2015-02-09,169.0270538330078
2015-02-10,170.82778930664062
2015-02-11,170.9268798828125
2015-02-12,172.5706787109375
2015-02-13,173.28102111816406
2015-02-17,173.5536346435547
2015-02-18,173.57009887695312
2015-02-19,173.44622802734375
2015-02-20,174.48699951171875
2015-02-23,174.46217346191406
2015-02-24,174.9578094482422
2015-02-25,174.8091583251953
2015-02-26,174.60263061523438
2015-02-27,174.0078887939453
2015-03-02,175.10650634765625
2015-03-03,174.3878631591797
2015-03-04,173.65269470214844
2015-03-05,173.8426971435547
2015-03-06,171.3976593017578
2015-03-09,172.1080780029297
2015-03-10,169.31613159179688
2015-03-11,168.91969299316406
2015-03-12,171.06729125976562
2015-03-13,170.0182647705078
2015-03-16,172.28977966308594
2015-03-17,171.7776641845703
2015-03-18,173.8426971435547
2015-03-19,173.04969787597656
2015-03-20,174.57720947265625
2015-03-23,174.23704528808594
2015-03-24,173.2579803466797
2015-03-25,170.71910095214844
2015-03-26,170.3125457763672
2015-03-27,170.70248413085938
2015-03-30,172.7850341796875
2015-03-31,171.27499389648438
2015-04-01,170.6693115234375
2015-04-02,171.28323364257812
2015-04-06,172.43655395507812
2015-04-07,171.98025512695312
2015-04-08,172.5611114501953
2015-04-09,173.3243408203125
2015-04-10,174.2702178955078
2015-04-13,173.48202514648438
2015-04-14,173.81387329101562
2015-04-15,174.59378051757812
2015-04-16,174.54400634765625
