Date,QQQ
2015-01-02,94.56114959716797
2015-01-05,93.17406463623047
2015-01-06,91.92475891113281
2015-01-07,93.10972595214844
2015-01-08,94.89188385009766
2015-01-09,94.26720428466797
2015-01-12,93.2842788696289
2015-01-13,93.25672149658203
2015-01-14,92.74231719970703
2015-01-15,91.53893280029297
2015-01-16,92.61371612548828
2015-01-20,93.34861755371094
2015-01-21,93.82627868652344
2015-01-22,95.56241607666016
2015-01-23,95.77369689941406
2015-01-26,95.66349029541016
2015-01-27,93.18323516845703
2015-01-28,92.70556640625
2015-01-29,93.59662628173828
2015-01-30,92.87091827392578
2015-02-02,93.67926025390625
2015-02-03,94.57953643798828
2015-02-04,94.49684143066406
2015-02-05,95.3144302368164
2015-02-06,94.73567199707031
2015-02-09,94.43254852294922
2015-02-10,95.90230560302734
2015-02-11,96.25138092041016
2015-02-12,97.37208557128906
2015-02-13,98.2080078125
2015-02-17,98.29987335205078
2015-02-18,98.43765258789062
2015-02-19,98.92450714111328
2015-02-20,99.58592987060547
2015-02-23,99.68695068359375
2015-02-24,99.76045227050781
2015-02-25,99.5124282836914
2015-02-26,100.0176773071289
2015-02-27,99.57670593261719
2015-03-02,100.47697448730469
2015-03-03,100.00846862792969
2015-03-04,99.62266540527344
2015-03-05,99.7972183227539
2015-03-06,98.66730499267578
2015-03-09,98.95207977294922
2015-03-10,97.1148681640625
2015-03-11,96.55451202392578
2015-03-12,97.18833923339844
2015-03-13,96.76580047607422
2015-03-16,98.01510620117188
2015-03-17,98.17129516601562
2015-03-18,99.13579559326172
2015-03-19,99.28276824951172
2015-03-20,99.9254379272461
2015-03-23,99.7320556640625
2015-03-24,99.37301635742188
2015-03-25,97.09882354736328
2015-03-26,96.76739501953125
2015-03-27,97.15406036376953
2015-03-30,98.26815032958984
2015-03-31,97.22772979736328
2015-04-01,96.7213363647461
2015-04-02,96.7857894897461
2015-04-06,97.5776138305664
2015-04-07,97.41190338134766
2015-04-08,98.1852798461914
2015-04-09,98.80219268798828
2015-04-10,99.20724487304688
2015-04-13,98.95867919921875
2015-04-14,98.67327880859375
2015-04-15,99.29012298583984
2015-04-16,99.15203094482422
2015-04-17,97.60520935058594
2015-04-20,99.06916046142578
2015-04-21,99.49269104003906
2015-04-22,100.0359115600586
2015-04-23,100.41342163085938
2015-04-24,101.77607727050781
2015-04-27,101.51826477050781
2015-04-28,101.31571960449219
2015-04-29,100.68043518066406
2015-04-30,99.0968246459961
2015-05-01,100.40422058105469
2015-05-04,100.56993865966797
2015-05-05,98.9310531616211
2015-05-06,98.24974822998047
2015-05-07,98.83897399902344
